Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0022613~ribonucleoprotein complex biogenesis	43	1.7345703912868091	1.456638225142896E-7	579931, 575751, 591121, 581865, 591435, 577044, 589486, 584539, 591189, 586103, 578233, 584413, 580493, 578606, 578794, 580433, 587044, 583048, 581649, 105438529, 588773, 590254, 591809, 587575, 579591, 575080, 588854, 575126, 582829, 575681, 582919, 592289, 582011, 592405, 592267, 575632, 575819, 577954, 584496, 577255, 585590, 583163, 580926	349	68	1094	1.9822181021405696	2.1599613406420026E-4	2.1599613406420026E-4	2.4169178575172978E-4
GOTERM_BP_ALL	GO:0042254~ribosome biogenesis	32	1.290843081887858	1.8523672928768495E-6	579931, 591121, 575751, 581865, 591435, 577044, 589486, 584539, 586103, 578233, 580493, 584413, 578794, 587044, 583048, 581649, 588773, 591809, 579591, 588854, 575126, 582829, 575681, 582919, 592405, 592267, 575632, 575819, 577954, 585590, 580926, 583163	349	48	1094	2.0897803247373448	0.0027432935140977444	0.001372588756996862	0.0030734879396421277
GOTERM_BP_ALL	GO:0006412~translation	45	1.8152480839048004	1.6586426682701392E-5	588867, 583426, 581865, 577881, 577044, 753658, 591189, 579219, 578606, 579300, 578794, 578034, 588415, 583048, 591498, 752151, 587414, 582417, 587448, 591809, 587575, 594523, 575080, 577982, 593744, 579019, 581576, 586283, 580307, 586769, 575225, 591341, 575681, 592289, 575790, 582011, 583958, 582945, 577787, 593029, 580522, 585458, 589183, 580746, 580926	349	82	1094	1.7202459990215948	0.0242978123787827	0.008165769080360041	0.02751739740761705
GOTERM_BP_ALL	GO:0043043~peptide biosynthetic process	45	1.8152480839048004	2.5064058303980726E-5	588867, 583426, 581865, 577881, 577044, 753658, 591189, 579219, 578606, 579300, 578794, 578034, 588415, 583048, 591498, 752151, 587414, 582417, 587448, 591809, 587575, 594523, 575080, 577982, 593744, 579019, 581576, 586283, 580307, 586769, 575225, 591341, 575681, 592289, 575790, 582011, 583958, 582945, 577787, 593029, 580522, 585458, 589183, 580746, 580926	349	83	1094	1.699520143611696	0.036488123016755525	0.009249573145587942	0.04157930366590623
GOTERM_BP_ALL	GO:0006518~peptide metabolic process	49	1.9766034691407826	2.6577385009200607E-5	577881, 753658, 579219, 578034, 583925, 588415, 583048, 591498, 587575, 594523, 575080, 579019, 586283, 591341, 575681, 582011, 580863, 577570, 582945, 593029, 580522, 585458, 589183, 580926, 588867, 581865, 583426, 577044, 591189, 576972, 578606, 579300, 578794, 752151, 587414, 582417, 587448, 591809, 577982, 593744, 581576, 580307, 586769, 575225, 592289, 575790, 583958, 577787, 580746	349	93	1094	1.6516005792279016	0.038648128613280264	0.007851968123538389	0.04408927362837822
GOTERM_BP_ALL	GO:0006364~rRNA processing	21	0.8471157724889069	3.496699046409871E-5	579931, 575751, 591809, 591121, 579591, 591435, 588854, 577044, 589486, 586103, 582829, 578233, 580493, 575681, 582919, 592405, 575632, 577954, 575819, 583163, 588773	349	29	1094	2.2699338010078054	0.05053532527632876	0.008605583735855293	0.058003012068541526
GOTERM_BP_ALL	GO:0016072~rRNA metabolic process	21	0.8471157724889069	3.496699046409871E-5	579931, 575751, 591809, 591121, 579591, 591435, 588854, 577044, 589486, 586103, 582829, 578233, 580493, 575681, 582919, 592405, 575632, 577954, 575819, 583163, 588773	349	29	1094	2.2699338010078054	0.05053532527632876	0.008605583735855293	0.058003012068541526
GOTERM_BP_ALL	GO:1901566~organonitrogen compound biosynthetic process	71	2.864058087938685	3.964598715862748E-5	588945, 373382, 577881, 753658, 577020, 579219, 591935, 100891910, 578034, 588415, 583048, 591498, 587575, 579751, 594523, 575080, 579019, 586283, 590056, 591341, 575681, 590061, 592365, 582011, 576006, 575210, 582945, 593029, 580522, 588680, 589183, 585458, 580926, 588867, 100894124, 581865, 583426, 581274, 584369, 577044, 591189, 578606, 579300, 578794, 582049, 752151, 578700, 587414, 582417, 585810, 587448, 591809, 592650, 762952, 577982, 579530, 593744, 581576, 580307, 586769, 548622, 587803, 575225, 592289, 575790, 583958, 577787, 579081, 575553, 579085, 580746	349	151	1094	1.4739179111558096	0.0571010541328405	0.008364275228670226	0.0657621020041077
GOTERM_BP_ALL	GO:0043603~cellular amide metabolic process	52	2.0976200080677696	4.533105722000249E-5	577881, 753658, 579219, 578034, 583925, 588415, 583048, 591498, 587575, 594523, 575080, 579019, 586283, 591341, 583455, 575681, 582011, 580863, 577570, 100890097, 582945, 593029, 580522, 585458, 589183, 580926, 588867, 581865, 583426, 584369, 577044, 591189, 576972, 578606, 579300, 578794, 752151, 587414, 582417, 587448, 591809, 577982, 593744, 581576, 580307, 586769, 575225, 592289, 575790, 583958, 577787, 580746	349	102	1094	1.5980673071520872	0.06501751418284096	0.008368225038115629	0.0751887822494246
GOTERM_BP_ALL	GO:0043604~amide biosynthetic process	46	1.855586930213796	6.665924879481651E-5	588867, 583426, 581865, 577881, 584369, 577044, 753658, 591189, 579219, 578606, 579300, 578794, 578034, 588415, 583048, 591498, 752151, 587414, 582417, 587448, 591809, 587575, 594523, 575080, 577982, 593744, 579019, 581576, 586283, 580307, 586769, 575225, 591341, 575681, 592289, 575790, 582011, 583958, 582945, 593029, 577787, 580522, 585458, 589183, 580746, 580926	349	88	1094	1.6385777546235996	0.09412953785949263	0.010924221532006562	0.11054660561866658
GOTERM_BP_ALL	GO:1901564~organonitrogen compound metabolic process	86	3.4691407825736182	7.196325310107767E-5	588945, 592592, 373382, 577881, 753658, 583929, 577166, 577020, 579219, 578034, 591935, 100891910, 583048, 588415, 583925, 582165, 591498, 591899, 594523, 579751, 587575, 575080, 579019, 586283, 590056, 591341, 575681, 590061, 592365, 580863, 582011, 577570, 576006, 100890097, 575210, 593029, 582945, 578453, 580522, 588680, 589183, 585458, 580926, 588867, 100894124, 581274, 581865, 583426, 584369, 577044, 591189, 576972, 578606, 575347, 579300, 578794, 582049, 585797, 752151, 578700, 587414, 582417, 585810, 587448, 591809, 592650, 762952, 579530, 577982, 593744, 581576, 580307, 586769, 548622, 587803, 575225, 548616, 593509, 575790, 592289, 583958, 577787, 579081, 575553, 579085, 580746	349	194	1094	1.3895961953150386	0.1012275081399644	0.010615785024979507	0.11933774522130403
GOTERM_BP_ALL	GO:0010467~gene expression	117	4.719645018152481	1.1611077142462033E-4	577881, 753658, 580958, 578233, 579219, 593673, 578228, 578034, 373339, 594039, 583048, 588415, 584640, 591498, 590254, 587575, 594523, 575080, 579019, 592015, 579207, 575681, 583455, 593029, 582945, 577255, 585635, 579931, 575751, 588867, 583426, 581769, 577044, 591435, 584962, 591189, 578214, 576972, 590047, 578606, 580433, 105438529, 752151, 588773, 587414, 582417, 591809, 594541, 593744, 581576, 100891218, 588854, 586014, 580307, 586769, 582829, 588659, 587803, 575952, 575225, 593496, 583958, 373348, 580902, 591121, 589486, 574588, 586103, 580493, 581160, 754661, 752563, 590747, 583925, 592057, 593983, 575247, 579591, 586283, 591341, 582919, 582011, 575632, 580522, 577954, 589183, 585458, 583163, 580926, 100892475, 581865, 586275, 105446002, 751845, 580001, 373196, 578317, 584413, 578794, 579300, 583564, 753537, 587448, 578850, 577982, 576519, 373200, 577702, 575790, 592289, 592405, 577787, 583913, 575819, 584496, 754757, 580746	349	284	1094	1.2913959401105777	0.15819111798646346	0.015532853250809109	0.19248199040066138
GOTERM_BP_ALL	GO:0006807~nitrogen compound metabolic process	168	6.776926179911255	2.723668157877397E-4	577881, 753658, 577166, 580958, 105447413, 578233, 579219, 593673, 578228, 578034, 100891910, 591935, 594039, 373339, 588415, 583048, 584640, 591498, 591899, 590254, 594523, 587575, 579751, 575080, 579019, 592015, 590056, 579207, 583455, 575681, 590061, 592365, 577570, 575210, 593029, 582945, 577255, 585635, 579931, 575751, 588867, 100894124, 581769, 583426, 584369, 577044, 591435, 591189, 584962, 578214, 576972, 590047, 582628, 578606, 575347, 580433, 586173, 585797, 105438529, 752151, 587414, 588773, 582417, 585810, 591809, 594541, 579530, 593744, 581576, 100891218, 588854, 105442738, 586014, 580307, 588659, 582829, 586769, 548622, 587803, 575225, 575952, 548616, 593496, 583958, 575553, 373348, 580902, 591121, 588945, 592592, 373382, 583929, 577020, 574588, 589486, 586103, 580493, 581160, 586702, 754661, 590747, 752563, 592057, 583925, 593983, 582165, 575247, 579591, 590968, 754268, 586283, 591341, 582919, 582011, 580863, 576006, 100890097, 592267, 575632, 578453, 580522, 588680, 577954, 589183, 585458, 583163, 580926, 100892475, 581865, 581274, 586275, 105446002, 751845, 580001, 373196, 578317, 584413, 579300, 578794, 582049, 583564, 578700, 753537, 587448, 592650, 762952, 578850, 577982, 576519, 373200, 577702, 592407, 574069, 593509, 592289, 575790, 100888496, 592405, 587908, 577787, 579081, 105441620, 583913, 575819, 584496, 579085, 754757, 580746	349	441	1094	1.194160185564197	0.3323391907602985	0.03310423719567501	0.45096508797771717
GOTERM_BP_ALL	GO:0034641~cellular nitrogen compound metabolic process	159	6.4138765631302945	4.028378049507381E-4	577881, 753658, 577166, 580958, 105447413, 578233, 579219, 593673, 578228, 578034, 591935, 594039, 373339, 588415, 583048, 584640, 591498, 591899, 590254, 594523, 587575, 579751, 575080, 579019, 592015, 590056, 579207, 583455, 575681, 590061, 592365, 577570, 575210, 593029, 582945, 577255, 585635, 579931, 575751, 588867, 100894124, 581769, 583426, 584369, 577044, 591435, 584962, 591189, 578214, 576972, 590047, 582628, 578606, 575347, 580433, 585797, 105438529, 752151, 588773, 587414, 582417, 591809, 594541, 579530, 593744, 581576, 100891218, 588854, 105442738, 586014, 580307, 588659, 582829, 586769, 548622, 587803, 575225, 575952, 548616, 593496, 583958, 373348, 580902, 591121, 588945, 592592, 373382, 589486, 577020, 574588, 586103, 580493, 581160, 754661, 586702, 590747, 752563, 592057, 583925, 593983, 575247, 579591, 590968, 754268, 586283, 591341, 582919, 582011, 580863, 576006, 100890097, 592267, 575632, 580522, 588680, 577954, 589183, 585458, 583163, 580926, 100892475, 581865, 581274, 586275, 105446002, 751845, 580001, 373196, 578317, 584413, 579300, 578794, 582049, 583564, 578700, 753537, 587448, 592650, 578850, 577982, 576519, 373200, 577702, 592407, 574069, 592289, 575790, 100888496, 592405, 587908, 577787, 579081, 105441620, 583913, 575819, 584496, 579085, 754757, 580746	349	416	1094	1.198107229446771	0.44983047799807185	0.04492342252536896	0.6663117640158811
GOTERM_BP_ALL	GO:0034470~ncRNA processing	25	1.008471157724889	4.7929150599159516E-4	579931, 591121, 575751, 591809, 579591, 100891218, 591435, 588854, 577044, 589486, 584962, 586103, 582829, 578233, 580493, 587803, 575681, 582919, 578228, 592405, 575632, 577954, 575819, 583163, 588773	349	42	1094	1.8658752899440576	0.5088274049149066	0.04951494016199276	0.7922976211204857
GOTERM_BP_ALL	GO:0034660~ncRNA metabolic process	27	1.0891488503428801	5.551655779639256E-4	579931, 591121, 575751, 577044, 591435, 589486, 584962, 586103, 578233, 580493, 578228, 588773, 591809, 579591, 100891218, 588854, 582829, 587803, 575681, 582919, 575790, 592405, 582945, 575632, 577954, 575819, 583163	349	47	1094	1.8007681521672865	0.5611243544518746	0.05342267085714625	0.9171798568523903
