Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0007155~cell adhesion	5	1.2531328320802004	9.672095969293802E-4	591943, 105440441, 373276, 576823, 591159	39	14	1094	10.018315018315016	0.30567454462275057	0.30567454462275057	1.3291738602925762
GOTERM_BP_ALL	GO:0022610~biological adhesion	5	1.2531328320802004	0.0012861237541042121	591943, 105440441, 373276, 576823, 591159	39	15	1094	9.35042735042735	0.38441406410062695	0.21540715278599876	1.7638314696924562
GOTERM_BP_ALL	GO:0043436~oxoacid metabolic process	7	1.7543859649122806	0.004410900094435503	100891910, 577570, 100891893, 579307, 575553, 592958, 586173	39	47	1094	4.17785051827605	0.81110946647629	0.42623146118766586	5.929718786720162
GOTERM_BP_ALL	GO:0098609~cell-cell adhesion	3	0.7518796992481203	0.011001609353952405	591943, 105440441, 591159	39	5	1094	16.83076923076923	0.9845568637446118	0.6474799071692199	14.184556379345226
GOTERM_BP_ALL	GO:0006082~organic acid metabolic process	7	1.7543859649122806	0.011524902692252	100891910, 577570, 100891893, 579307, 575553, 592958, 586173	39	57	1094	3.44489428699955	0.9873502720292439	0.5827308883546112	14.810298294611846
GOTERM_BP_ALL	GO:0019752~carboxylic acid metabolic process	6	1.5037593984962405	0.018646676014773694	100891910, 577570, 100891893, 579307, 575553, 592958	39	46	1094	3.6588628762541813	0.9991717241830084	0.6935479739725459	22.916195832966746
GOTERM_BP_ALL	GO:0044699~single-organism process	28	7.017543859649122	0.019675057847006426	100889243, 589852, 586329, 575406, 373276, 591240, 373360, 757121, 592958, 575157, 591043, 100891910, 582219, 593362, 586173, 578700, 755450, 579307, 591159, 580173, 591943, 577570, 580868, 105439410, 100891893, 575553, 576910, 577952	39	586	1094	1.3403342959656954	0.9994421598583924	0.6570619450316832	24.025699748538266
GOTERM_BP_ALL	GO:0046394~carboxylic acid biosynthetic process	4	1.0025062656641603	0.033382191697453246	100891910, 100891893, 579307, 575553	39	21	1094	5.343101343101343	0.9999972390623987	0.7981019734616985	37.46746445077949
GOTERM_BP_ALL	GO:0044763~single-organism cellular process	26	6.516290726817042	0.0348791553066609	100889243, 575406, 586329, 589852, 373276, 591240, 579307, 757121, 592958, 591159, 575157, 591943, 591043, 100891910, 577570, 582219, 580868, 100891893, 105439410, 593362, 575553, 576910, 586173, 577952, 755450, 578700	39	548	1094	1.3309002433090025	0.9999984607851341	0.7739813060512546	38.79335306516282
GOTERM_BP_ALL	GO:0016053~organic acid biosynthetic process	4	1.0025062656641603	0.037740408233331774	100891910, 100891893, 579307, 575553	39	22	1094	5.100233100233099	0.999999497451704	0.7655135344634785	41.25534459491471
GOTERM_BP_ALL	GO:0002376~immune system process	3	0.7518796992481203	0.044354970527752585	580868, 105442738, 576823	39	10	1094	8.415384615384616	0.9999999626904346	0.7887917265494991	46.59951943137571
GOTERM_BP_ALL	GO:0032501~multicellular organismal process	5	1.2531328320802004	0.04979219274911888	373276, 373360, 105439410, 580173, 591159	39	41	1094	3.4208880550343963	0.9999999956587969	0.7990286385224564	50.650847633803075
GOTERM_BP_ALL	GO:0044283~small molecule biosynthetic process	4	1.0025062656641603	0.063638076916399	100891910, 100891893, 579307, 575553	39	27	1094	4.155745489078822	0.9999999999828489	0.8514513865704284	59.71628840131278
GOTERM_BP_ALL	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	2	0.5012531328320802	0.06829399653102974	591943, 105440441	39	2	1094	28.05128205128205	0.999999999997381	0.8511583418408558	62.39943892975843
GOTERM_BP_ALL	GO:0098742~cell-cell adhesion via plasma-membrane adhesion molecules	2	0.5012531328320802	0.06829399653102974	591943, 105440441	39	2	1094	28.05128205128205	0.999999999997381	0.8511583418408558	62.39943892975843
