Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0022613~ribonucleoprotein complex biogenesis	23	4.299065420560748	1.2837867026642736E-8	591121, 587575, 579591, 575080, 581865, 588854, 577044, 589486, 586103, 575126, 578233, 580493, 578606, 582919, 582011, 592405, 587044, 592267, 575632, 577954, 585590, 105438529, 577255	99	68	1094	3.73767082590612	1.0244565449180065E-5	1.0244565449180065E-5	1.9699689535190856E-5
GOTERM_BP_ALL	GO:0042254~ribosome biogenesis	17	3.177570093457944	1.076483318412912E-6	591121, 579591, 581865, 588854, 577044, 589486, 586103, 575126, 578233, 580493, 582919, 592405, 587044, 592267, 575632, 577954, 585590	99	48	1094	3.913720538720539	8.586652862245803E-4	4.294248459614236E-4	0.0016518495939976674
GOTERM_BP_ALL	GO:0016072~rRNA metabolic process	12	2.2429906542056073	1.5241633580131128E-5	582919, 591121, 579591, 592405, 577044, 588854, 589486, 575632, 586103, 577954, 578233, 580493	99	29	1094	4.572622779519332	0.012089247002489922	0.004046097829040862	0.02338571162175951
GOTERM_BP_ALL	GO:0006364~rRNA processing	12	2.2429906542056073	1.5241633580131128E-5	582919, 591121, 579591, 592405, 577044, 588854, 589486, 575632, 586103, 577954, 578233, 580493	99	29	1094	4.572622779519332	0.012089247002489922	0.004046097829040862	0.02338571162175951
GOTERM_BP_ALL	GO:0034660~ncRNA metabolic process	15	2.803738317757009	2.4490058346184357E-5	591121, 579591, 588854, 577044, 589486, 584962, 586103, 578233, 580493, 582919, 575790, 592405, 575632, 582945, 577954	99	47	1094	3.52675693101225	0.01935357347712452	0.004873910232038869	0.03757336448483306
GOTERM_BP_ALL	GO:0034470~ncRNA processing	13	2.4299065420560746	1.5638685705714206E-4	582919, 591121, 579591, 592405, 577044, 588854, 589486, 584962, 575632, 586103, 577954, 578233, 580493	99	42	1094	3.4203944203944205	0.11733229234962717	0.024652337135914637	0.2397064533213089
GOTERM_BP_ALL	GO:0071840~cellular component organization or biogenesis	38	7.102803738317758	3.4523229106899866E-4	591121, 581865, 577044, 589486, 586103, 578233, 580493, 578606, 589392, 585934, 587044, 577928, 589195, 588415, 591498, 105438529, 373503, 587414, 587575, 579591, 575080, 589835, 588854, 587798, 580307, 575126, 582919, 582011, 763690, 583958, 592405, 592267, 575632, 577954, 373348, 580528, 577255, 585590	99	250	1094	1.6796767676767674	0.24084016250276996	0.044885282196870824	0.5284487691781359
GOTERM_BP_ALL	GO:0010467~gene expression	41	7.663551401869159	5.396953581410335E-4	591121, 581865, 577044, 589486, 584962, 580958, 586103, 578233, 373196, 580493, 578317, 578606, 752563, 594039, 588415, 591498, 105438529, 752151, 587414, 587575, 579591, 575080, 586283, 588854, 576519, 580307, 583455, 582919, 593496, 575790, 582011, 583958, 592405, 582945, 575632, 593029, 577954, 373348, 585458, 577255, 100892475	99	284	1094	1.595319391094039	0.35000665511855755	0.0596864347172692	0.8249637738956372
GOTERM_BP_ALL	GO:0044085~cellular component biogenesis	25	4.672897196261682	6.484288428948052E-4	591121, 587575, 579591, 575080, 581865, 588854, 577044, 589486, 586103, 575126, 578233, 580493, 578606, 582919, 582011, 592405, 587044, 592267, 575632, 577954, 580528, 585590, 577255, 105438529, 373503	99	140	1094	1.9733044733044733	0.4040592637678361	0.06265302074627876	0.9903989360049659
GOTERM_BP_ALL	GO:0006413~translational initiation	6	1.1214953271028036	9.15342638047479E-4	587575, 582011, 575080, 586283, 752151, 578606	99	10	1094	6.63030303030303	0.5184657567005223	0.07798846811319904	1.395408057018921
GOTERM_BP_ALL	GO:0034641~cellular nitrogen compound metabolic process	53	9.906542056074766	0.0010947753679625613	591121, 588945, 577020, 589486, 586103, 580958, 578233, 580493, 591935, 752563, 594039, 588415, 591498, 587575, 579591, 590968, 575080, 754268, 586283, 583455, 582919, 582011, 592267, 575632, 582945, 593029, 588680, 577954, 585458, 577255, 100892475, 581865, 581274, 577044, 584962, 373196, 578317, 582628, 578606, 575347, 582049, 105438529, 752151, 587414, 588854, 576519, 580307, 574069, 593496, 575790, 583958, 592405, 373348	99	416	1094	1.4078768453768453	0.5827665191075679	0.08369951780119278	1.6668042249490367
GOTERM_BP_ALL	GO:0006412~translation	17	3.177570093457944	0.0014892291365968715	587575, 575080, 581865, 586283, 577044, 580307, 578606, 582011, 575790, 583958, 582945, 593029, 588415, 585458, 591498, 752151, 587414	99	82	1094	2.290958364129096	0.6955628551827375	0.10247771637181435	2.2609717176221067
GOTERM_BP_ALL	GO:0043043~peptide biosynthetic process	17	3.177570093457944	0.001708404229221929	587575, 575080, 581865, 586283, 577044, 580307, 578606, 582011, 575790, 583958, 582945, 593029, 588415, 585458, 591498, 752151, 587414	99	83	1094	2.2633564561275406	0.7444845604293009	0.10747971461117867	2.5896639175134073
GOTERM_BP_ALL	GO:0042273~ribosomal large subunit biogenesis	7	1.3084112149532712	0.002434054939244011	591121, 581865, 577044, 587044, 575632, 577954, 585590	99	17	1094	4.550207961972667	0.8569761113584919	0.13894393647985126	3.670547622446896
GOTERM_BP_ALL	GO:0006807~nitrogen compound metabolic process	54	10.093457943925234	0.002720043673463086	591121, 588945, 577020, 589486, 586103, 580958, 578233, 580493, 591935, 752563, 594039, 588415, 591498, 587575, 579591, 590968, 575080, 754268, 586283, 583455, 582919, 582011, 592267, 575632, 582945, 593029, 588680, 577954, 585458, 577255, 100892475, 581865, 581274, 577044, 584962, 373196, 578317, 582628, 578606, 575347, 582049, 105438529, 752151, 587414, 762952, 588854, 576519, 580307, 574069, 593496, 575790, 583958, 592405, 373348	99	441	1094	1.3531230674087815	0.8862272535001534	0.14380209634899488	4.093450024206868
GOTERM_BP_ALL	GO:0000462~maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	5	0.9345794392523363	0.003203910517466102	579591, 592405, 589486, 575632, 586103	99	8	1094	6.906565656565657	0.9227590184952463	0.15694381496471854	4.805012242861473
GOTERM_BP_ALL	GO:1990542~mitochondrial transmembrane transport	5	0.9345794392523363	0.003203910517466102	589835, 581274, 585934, 589195, 577928	99	8	1094	6.906565656565657	0.9227590184952463	0.15694381496471854	4.805012242861473
GOTERM_BP_ALL	GO:0030490~maturation of SSU-rRNA	5	0.9345794392523363	0.003203910517466102	579591, 592405, 589486, 575632, 586103	99	8	1094	6.906565656565657	0.9227590184952463	0.15694381496471854	4.805012242861473
GOTERM_BP_ALL	GO:0006396~RNA processing	16	2.990654205607477	0.003232295479335644	591121, 579591, 588854, 577044, 589486, 584962, 586103, 580958, 578233, 580493, 582919, 592405, 575632, 594039, 577954, 105438529	99	80	1094	2.21010101010101	0.9244944747358725	0.1491095079605167	4.846600806522561
GOTERM_BP_ALL	GO:0043604~amide biosynthetic process	17	3.177570093457944	0.0032561484855390356	587575, 575080, 581865, 586283, 577044, 580307, 578606, 582011, 575790, 583958, 582945, 593029, 588415, 585458, 591498, 752151, 587414	99	88	1094	2.13475665748393	0.9259226969952485	0.14195336615157295	4.881536187136648
GOTERM_BP_ALL	GO:1901566~organonitrogen compound biosynthetic process	24	4.485981308411215	0.00463829549324374	762952, 587575, 588945, 575080, 581865, 581274, 586283, 577044, 577020, 580307, 578606, 582049, 591935, 582011, 575790, 583958, 582945, 593029, 588415, 588680, 585458, 591498, 752151, 587414	99	151	1094	1.756371663656432	0.9755217531610231	0.18625600824167532	6.885490447891252
GOTERM_BP_ALL	GO:0044260~cellular macromolecule metabolic process	56	10.46728971962617	0.004670505068757683	591121, 589486, 100889149, 586103, 580958, 578233, 580493, 752563, 594039, 588415, 591498, 587575, 575080, 590968, 579591, 581896, 586283, 754268, 752566, 583455, 582919, 582011, 575334, 578762, 592267, 585921, 575632, 582945, 593029, 577954, 585458, 577255, 100892475, 581865, 591601, 577044, 584962, 373196, 578317, 582628, 578606, 575347, 105438529, 752151, 587414, 580091, 588854, 576519, 587798, 580307, 593496, 575790, 583958, 592405, 373348, 590942	99	472	1094	1.3110768703989042	0.976145773695835	0.17849785481105296	6.93171654070619
GOTERM_BP_ALL	GO:1902582~single-organism intracellular transport	6	1.1214953271028036	0.005429067454433286	589835, 581274, 585934, 587798, 589195, 577928	99	14	1094	4.735930735930736	0.987018097447712	0.19523900811451267	8.014197472142204
