Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_ALL	GO:1990904~ribonucleoprotein complex	63	2.5413473174667205	9.332131935263317E-7	591121, 577881, 753658, 589486, 584539, 586103, 580958, 579219, 580493, 578034, 590747, 587044, 594039, 588415, 583048, 591498, 590254, 587575, 594523, 575080, 579019, 586283, 589713, 591341, 575681, 582919, 592267, 575632, 593029, 580522, 577954, 589183, 585458, 583163, 580926, 579931, 588867, 581865, 577044, 591435, 105446002, 591189, 580001, 578606, 579300, 578794, 580433, 105438529, 752151, 587414, 587448, 591809, 594541, 578850, 577982, 580091, 593744, 581576, 586769, 592289, 583913, 584496, 577693	402	118	1253	1.6641158613711107	3.722829234570346E-4	3.722829234570346E-4	0.0013011692469810932
GOTERM_CC_ALL	GO:0030529~intracellular ribonucleoprotein complex	63	2.5413473174667205	9.332131935263317E-7	591121, 577881, 753658, 589486, 584539, 586103, 580958, 579219, 580493, 578034, 590747, 587044, 594039, 588415, 583048, 591498, 590254, 587575, 594523, 575080, 579019, 586283, 589713, 591341, 575681, 582919, 592267, 575632, 593029, 580522, 577954, 589183, 585458, 583163, 580926, 579931, 588867, 581865, 577044, 591435, 105446002, 591189, 580001, 578606, 579300, 578794, 580433, 105438529, 752151, 587414, 587448, 591809, 594541, 578850, 577982, 580091, 593744, 581576, 586769, 592289, 583913, 584496, 577693	402	118	1253	1.6641158613711107	3.722829234570346E-4	3.722829234570346E-4	0.0013011692469810932
GOTERM_CC_ALL	GO:0031974~membrane-enclosed lumen	59	2.3799919322307383	6.07098838777236E-6	373276, 577881, 589486, 586103, 578233, 580493, 579219, 593673, 587044, 373339, 588415, 593983, 584640, 591498, 588091, 594523, 584500, 583455, 575681, 592267, 575632, 593029, 577954, 105444885, 577255, 100892475, 580926, 583163, 579931, 588867, 590089, 581769, 764204, 586275, 577044, 591435, 591189, 580475, 578317, 575347, 583564, 591574, 752151, 587414, 753537, 587448, 592650, 589835, 581576, 574660, 576519, 575126, 582829, 588659, 592407, 575819, 373348, 577693, 754757	402	113	1253	1.6274160172588386	0.0024194002417092797	0.0012104326945086008	0.008464433210608746
GOTERM_CC_ALL	GO:0005730~nucleolus	19	0.7664380798709157	4.02539322228668E-5	579931, 764204, 591435, 577044, 589486, 586103, 582829, 575126, 578317, 580493, 583455, 587044, 592267, 575632, 577954, 591574, 577693, 100892475, 583163	402	25	1253	2.3688557213930346	0.015933341878832774	0.005339574267338443	0.05611135061324157
GOTERM_CC_ALL	GO:0070013~intracellular organelle lumen	54	2.1782977006857602	6.020913772416739E-5	373276, 577881, 589486, 586103, 578233, 580493, 579219, 593673, 587044, 373339, 588415, 593983, 584640, 591498, 594523, 584500, 583455, 575681, 592267, 575632, 593029, 577954, 577255, 105444885, 100892475, 580926, 583163, 579931, 588867, 590089, 581769, 764204, 586275, 591435, 577044, 591189, 580475, 578317, 583564, 591574, 752151, 587414, 753537, 587448, 581576, 576519, 588659, 582829, 575126, 592407, 575819, 373348, 577693, 754757	402	107	1253	1.573022736783373	0.02373788599807336	0.005988042081786049	0.08391676596489761
GOTERM_CC_ALL	GO:0043233~organelle lumen	54	2.1782977006857602	6.020913772416739E-5	373276, 577881, 589486, 586103, 578233, 580493, 579219, 593673, 587044, 373339, 588415, 593983, 584640, 591498, 594523, 584500, 583455, 575681, 592267, 575632, 593029, 577954, 577255, 105444885, 100892475, 580926, 583163, 579931, 588867, 590089, 581769, 764204, 586275, 591435, 577044, 591189, 580475, 578317, 583564, 591574, 752151, 587414, 753537, 587448, 581576, 576519, 588659, 582829, 575126, 592407, 575819, 373348, 577693, 754757	402	107	1253	1.573022736783373	0.02373788599807336	0.005988042081786049	0.08391676596489761
GOTERM_CC_ALL	GO:0030684~preribosome	13	0.5244050020169424	1.6865709747070778E-4	582919, 579931, 591121, 591435, 587044, 589486, 584539, 575632, 586103, 577954, 589183, 580493, 583163	402	15	1253	2.701326699834162	0.06508518177814027	0.013369791115704799	0.23490172626851047
GOTERM_CC_ALL	GO:0032991~macromolecular complex	143	5.768455022186365	4.0043732948032E-4	577881, 753658, 577167, 580958, 578233, 579219, 593673, 578228, 578034, 576711, 373335, 594039, 373339, 583048, 588415, 584640, 591498, 588091, 575187, 373267, 591899, 590254, 594523, 587575, 579751, 575080, 579019, 578920, 762933, 575681, 575334, 763690, 582320, 593029, 582945, 576727, 577255, 579931, 588867, 581769, 591601, 577044, 591435, 591189, 578606, 580433, 591205, 577928, 585797, 105438529, 752151, 587414, 591809, 594541, 593744, 581576, 580307, 588659, 586769, 548622, 576984, 575952, 581807, 590445, 373348, 577693, 577412, 590942, 591121, 587539, 581255, 373382, 589486, 584539, 586103, 585866, 580493, 373230, 575822, 585934, 590747, 587044, 583925, 373373, 593983, 587442, 579450, 586283, 586589, 589713, 591341, 577730, 582919, 578310, 576006, 581558, 578762, 592267, 575632, 585921, 578453, 580522, 577954, 589183, 585458, 583163, 580926, 100892475, 575406, 581274, 590089, 581865, 586275, 105446002, 580001, 580475, 578317, 589392, 578794, 579300, 583564, 591043, 589195, 578700, 753537, 587448, 373309, 580091, 578850, 577982, 373401, 589835, 576519, 574660, 574071, 592407, 583575, 592289, 583913, 575819, 584496, 579085, 754757	402	363	1253	1.2278757726518919	0.1476912991549294	0.026282847613298688	0.5568843247090616
GOTERM_CC_ALL	GO:0044429~mitochondrial part	37	1.4925373134328357	8.166229993442116E-4	588867, 581274, 577881, 585826, 577167, 763450, 590069, 580475, 579219, 575347, 585934, 577928, 589195, 588415, 585797, 591498, 587414, 588418, 591899, 588091, 587448, 592650, 594523, 579751, 577217, 589835, 581576, 574660, 584500, 575225, 575681, 578310, 576006, 576005, 575210, 593029, 580926	402	72	1253	1.6017482034273078	0.2781700472965192	0.0454989418251851	1.1326178539167397
GOTERM_CC_ALL	GO:0000313~organellar ribosome	12	0.4840661557079467	0.001158557879683983	587448, 588867, 594523, 581576, 577881, 593029, 588415, 591498, 579219, 575681, 587414, 580926	402	15	1253	2.4935323383084578	0.3703131087416339	0.05617694547155949	1.603318965049172
GOTERM_CC_ALL	GO:0005761~mitochondrial ribosome	12	0.4840661557079467	0.001158557879683983	587448, 588867, 594523, 581576, 577881, 593029, 588415, 591498, 579219, 575681, 587414, 580926	402	15	1253	2.4935323383084578	0.3703131087416339	0.05617694547155949	1.603318965049172
GOTERM_CC_ALL	GO:0044428~nuclear part	56	2.2589753933037517	0.0020409441089052124	589486, 586103, 580958, 578233, 580493, 593673, 590747, 587044, 373339, 594039, 593983, 587442, 584640, 590254, 762933, 583455, 592267, 575632, 577954, 105444885, 577255, 100892475, 583163, 579931, 590089, 591601, 581769, 764204, 586275, 577044, 591435, 105446002, 591189, 580001, 578317, 583564, 580433, 591574, 105438529, 752151, 753537, 594541, 585718, 578850, 576519, 575126, 582829, 588659, 592407, 583913, 575819, 373348, 584496, 577693, 754757, 577412	402	125	1253	1.3963781094527363	0.5574354014322658	0.08659354890135973	2.8084019279182804
GOTERM_CC_ALL	GO:0098798~mitochondrial protein complex	14	0.5647438483259379	0.0022957953877434214	588091, 591899, 578310, 579751, 589835, 576006, 581274, 585934, 574660, 577167, 577928, 589195, 585797, 580475	402	20	1253	2.1818407960199004	0.6003137728362045	0.08762806372174048	3.1538961301664337
GOTERM_CC_ALL	GO:0000502~proteasome complex	9	0.3630496167809601	0.00244697986949973	587539, 590445, 575334, 578762, 585921, 576984, 575952, 754757, 590942	402	10	1253	2.8052238805970147	0.6237650517781128	0.08503311555256687	3.358313252974088
