Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_ALL	GO:0016798~hydrolase activity, acting on glycosyl bonds	5	1.2531328320802004	0.0010240106234786221	586702, 587263, 583337, 580868, 105438010	54	12	1277	9.853395061728394	0.1598467788894471	0.1598467788894471	1.242136942566352
GOTERM_MF_ALL	GO:0005044~scavenger receptor activity	4	1.0025062656641603	0.0032643444960167873	373431, 373211, 585092, 576823	54	8	1277	11.824074074074073	0.42641336812007125	0.24264497632884963	3.9104484196612055
GOTERM_MF_ALL	GO:0038024~cargo receptor activity	4	1.0025062656641603	0.0032643444960167873	373431, 373211, 585092, 576823	54	8	1277	11.824074074074073	0.42641336812007125	0.24264497632884963	3.9104484196612055
GOTERM_MF_ALL	GO:0004872~receptor activity	8	2.0050125313283207	0.011874505526016405	100889243, 373431, 373211, 105439410, 100888815, 585092, 576823, 591159	54	62	1277	3.051373954599761	0.8687625501609887	0.491818020125276	13.561237282415783
GOTERM_MF_ALL	GO:0060089~molecular transducer activity	8	2.0050125313283207	0.011874505526016405	100889243, 373431, 373211, 105439410, 100888815, 585092, 576823, 591159	54	62	1277	3.051373954599761	0.8687625501609887	0.491818020125276	13.561237282415783
GOTERM_MF_ALL	GO:0008237~metallopeptidase activity	4	1.0025062656641603	0.017771585316866463	577570, 592585, 373360, 588773	54	14	1277	6.756613756613756	0.9525622687039043	0.5333073322574302	19.648549472395395
GOTERM_MF_ALL	GO:0003824~catalytic activity	34	8.521303258145362	0.024197351343770317	579629, 586329, 373360, 757121, 590365, 592958, 586832, 575157, 586702, 585244, 100891910, 585404, 593362, 574551, 586173, 105438010, 588773, 578700, 587263, 583337, 592585, 580652, 579307, 576823, 575697, 591159, 577570, 580868, 577198, 100891893, 584105, 585092, 575553, 583933	54	614	1277	1.3095065749788877	0.9844568606073476	0.5651817654666933	25.83174099845117
GOTERM_MF_ALL	GO:0016491~oxidoreductase activity	10	2.506265664160401	0.02500271894930514	585244, 577198, 584105, 100891893, 579307, 585092, 574551, 575697, 583933, 586173	54	105	1277	2.252204585537919	0.9864923816596856	0.5119887915221373	26.575098795298967
GOTERM_MF_ALL	GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds	3	0.7518796992481203	0.050476948276913174	587263, 583337, 105438010	54	9	1277	7.882716049382715	0.999850053218491	0.7157468363733028	46.84170934945172
GOTERM_MF_ALL	GO:0005509~calcium ion binding	5	1.2531328320802004	0.08001270282159186	591943, 105440441, 592971, 373360, 757121	54	40	1277	2.956018518518518	0.999999303515847	0.8300332755370525	63.84699684940478
GOTERM_MF_ALL	GO:0016805~dipeptidase activity	2	0.5012531328320802	0.08131568159095931	577570, 592585	54	2	1277	23.648148148148145	0.9999994526419073	0.7985105117982081	64.46674073277701
GOTERM_MF_ALL	GO:0003796~lysozyme activity	2	0.5012531328320802	0.08131568159095931	587263, 583337	54	2	1277	23.648148148148145	0.9999994526419073	0.7985105117982081	64.46674073277701
GOTERM_MF_ALL	GO:0004497~monooxygenase activity	3	0.7518796992481203	0.09842904456093307	100891893, 579307, 575697	54	13	1277	5.4572649572649565	0.9999999776135576	0.8282097513734372	71.75078150504761
