Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_ALL	GO:0003723~RNA binding	21	3.925233644859813	1.8474371247550721E-6	575736, 591121, 587575, 100893477, 575080, 586283, 577044, 574071, 580307, 578233, 578606, 583455, 582919, 578771, 582011, 583958, 582945, 594039, 105438529, 752151, 587414	98	86	1277	3.181893687707641	4.635996510981011E-4	4.635996510981011E-4	0.0024014784362202946
GOTERM_MF_ALL	GO:0008135~translation factor activity, RNA binding	10	1.8691588785046727	8.007371042186382E-6	575736, 578771, 587575, 582011, 575080, 583958, 586283, 574071, 580307, 578606	98	21	1277	6.205053449951409	0.002007839765968966	0.0010044243170889144	0.010408374924253394
GOTERM_MF_ALL	GO:0003743~translation initiation factor activity	7	1.3084112149532712	4.706871223127183E-4	575736, 578771, 587575, 582011, 575080, 586283, 578606	98	15	1277	6.080952380952381	0.11145526210784562	0.03862439038632981	0.610126838249414
GOTERM_MF_ALL	GO:0008565~protein transporter activity	4	0.7476635514018692	0.017973729786985197	589392, 589835, 585934, 577928	98	8	1277	6.515306122448979	0.9894585695579263	0.6795761112356331	21.00359391543478
GOTERM_MF_ALL	GO:0003676~nucleic acid binding	29	5.420560747663552	0.045856297189666204	575736, 591121, 577120, 577044, 578233, 578317, 582628, 578606, 589939, 578771, 594039, 105438529, 752151, 587414, 100893477, 587575, 575080, 586283, 574071, 580307, 583455, 582919, 593496, 582011, 583958, 582945, 581552, 373348, 100892475	98	274	1277	1.3791523908833607	0.9999923605713167	0.9052428093801173	45.67530976326536
GOTERM_MF_ALL	GO:1901363~heterocyclic compound binding	48	8.97196261682243	0.0567972548058245	575736, 591121, 588945, 582621, 577044, 577120, 373192, 578233, 580493, 578317, 578606, 582628, 575347, 578227, 578771, 589939, 594039, 575808, 105438529, 752151, 587414, 587575, 100893477, 590968, 581859, 575080, 578243, 753090, 586283, 576276, 574071, 580307, 575126, 763814, 583455, 577721, 581650, 582919, 593496, 575790, 582011, 583958, 582945, 581552, 373348, 582138, 577255, 100892475	98	515	1277	1.2145036655438874	0.9999995774587798	0.9133746809800295	53.238529054254194
GOTERM_MF_ALL	GO:0097159~organic cyclic compound binding	48	8.97196261682243	0.06474893912937572	575736, 591121, 588945, 582621, 577044, 577120, 373192, 578233, 580493, 578317, 578606, 582628, 575347, 578227, 578771, 589939, 594039, 575808, 105438529, 752151, 587414, 587575, 100893477, 590968, 581859, 575080, 578243, 753090, 586283, 576276, 574071, 580307, 575126, 763814, 583455, 577721, 581650, 582919, 593496, 575790, 582011, 583958, 582945, 581552, 373348, 582138, 577255, 100892475	98	519	1277	1.2051433290079037	0.9999999495361264	0.909308067764002	58.11173171999582
GOTERM_MF_ALL	GO:0034062~RNA polymerase activity	3	0.5607476635514018	0.07004924886401605	578317, 752151, 100892475	98	6	1277	6.515306122448979	0.9999999878815428	0.8975691168823179	61.09483983461894
GOTERM_MF_ALL	GO:0003899~DNA-directed RNA polymerase activity	3	0.5607476635514018	0.07004924886401605	578317, 752151, 100892475	98	6	1277	6.515306122448979	0.9999999878815428	0.8975691168823179	61.09483983461894
GOTERM_MF_ALL	GO:0016779~nucleotidyltransferase activity	4	0.7476635514018692	0.08379447905703528	578317, 752151, 582628, 100892475	98	14	1277	3.7230320699708455	0.9999999997114514	0.9128987604979891	67.94163756235687
