Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0051246~regulation of protein metabolic process	9	4.147465437788019	7.484786063329375E-4	575347, 577730, 587575, 578762, 585921, 100889149, 373196, 752151, 583455	50	47	1094	4.189787234042553	0.35323848544986014	0.35323848544986014	1.0952082577637912
GOTERM_BP_ALL	GO:0032268~regulation of cellular protein metabolic process	8	3.686635944700461	0.002514165071302093	575347, 577730, 587575, 585921, 100889149, 373196, 752151, 583455	50	44	1094	3.978181818181818	0.7689420141484947	0.5193150867236364	3.634706198124893
GOTERM_BP_ALL	GO:0052548~regulation of endopeptidase activity	3	1.3824884792626728	0.0057316197486933715	575347, 577730, 585921	50	3	1094	21.88	0.9647538563763602	0.6721283480315899	8.10662818333141
GOTERM_BP_ALL	GO:0052547~regulation of peptidase activity	3	1.3824884792626728	0.0057316197486933715	575347, 577730, 585921	50	3	1094	21.88	0.9647538563763602	0.6721283480315899	8.10662818333141
GOTERM_BP_ALL	GO:0006396~RNA processing	10	4.6082949308755765	0.006991340164762807	591121, 577044, 584962, 575632, 594039, 762595, 580958, 586103, 577954, 105438529	50	80	1094	2.735	0.9831474005232621	0.6396979568728438	9.804211886044778
GOTERM_BP_ALL	GO:0034470~ncRNA processing	7	3.225806451612903	0.009035114548794331	591121, 577044, 584962, 575632, 762595, 586103, 577954	50	42	1094	3.646666666666667	0.9949194513473174	0.652318067474937	12.496329197933553
GOTERM_BP_ALL	GO:0009894~regulation of catabolic process	4	1.8433179723502304	0.010817106955438437	578762, 585921, 100889149, 752151	50	11	1094	7.956363636363636	0.9982177054244478	0.6517990800288935	14.782311828921191
GOTERM_BP_ALL	GO:0030162~regulation of proteolysis	4	1.8433179723502304	0.013972310748050496	575347, 577730, 585921, 100889149	50	12	1094	7.293333333333334	0.9997223724965134	0.6895989279460486	18.693913371690073
GOTERM_BP_ALL	GO:0034660~ncRNA metabolic process	7	3.225806451612903	0.01557394698816038	591121, 577044, 584962, 575632, 762595, 586103, 577954	50	47	1094	3.2587234042553193	0.9998922137062435	0.6807944436945588	20.614850357317128
GOTERM_BP_ALL	GO:0006457~protein folding	5	2.3041474654377883	0.016771436214297816	373207, 586525, 373519, 582138, 588440	50	23	1094	4.756521739130435	0.9999469223981761	0.6650421628851133	22.023342447170123
GOTERM_BP_ALL	GO:0000470~maturation of LSU-rRNA	3	1.3824884792626728	0.026275438311211912	591121, 577044, 577954	50	6	1094	10.94	0.9999998138664131	0.7876841216889015	32.403790597178926
GOTERM_BP_ALL	GO:0022613~ribonucleoprotein complex biogenesis	8	3.686635944700461	0.02771851525391158	591121, 587575, 577044, 592267, 575632, 586103, 577954, 105438529	50	68	1094	2.5741176470588236	0.9999999214849284	0.7740113440729987	33.86231443670508
GOTERM_BP_ALL	GO:0044260~cellular macromolecule metabolic process	29	13.36405529953917	0.030831323836022606	591121, 576760, 577044, 584962, 100889149, 580958, 586103, 373196, 575347, 579797, 594039, 105438529, 752151, 587575, 579019, 586283, 762595, 584839, 583455, 577730, 575334, 578762, 592267, 578688, 575632, 585921, 577954, 585458, 590942	50	472	1094	1.344322033898305	0.9999999878540119	0.7810376708184332	36.909145430144754
GOTERM_BP_ALL	GO:0044743~intracellular protein transmembrane import	3	1.3824884792626728	0.03574303976866827	589835, 585934, 589195	50	7	1094	9.377142857142857	0.999999999368753	0.8039697801801852	41.45191967558788
GOTERM_BP_ALL	GO:0071806~protein transmembrane transport	3	1.3824884792626728	0.03574303976866827	589835, 585934, 589195	50	7	1094	9.377142857142857	0.999999999368753	0.8039697801801852	41.45191967558788
GOTERM_BP_ALL	GO:0065002~intracellular protein transmembrane transport	3	1.3824884792626728	0.03574303976866827	589835, 585934, 589195	50	7	1094	9.377142857142857	0.999999999368753	0.8039697801801852	41.45191967558788
GOTERM_BP_ALL	GO:0042273~ribosomal large subunit biogenesis	4	1.8433179723502304	0.03688081225797261	591121, 577044, 575632, 577954	50	17	1094	5.148235294117647	0.9999999996824731	0.7903206082459088	42.45980316046744
GOTERM_BP_ALL	GO:0006364~rRNA processing	5	2.3041474654377883	0.03690866904912611	591121, 577044, 575632, 586103, 577954	50	29	1094	3.772413793103449	0.9999999996877735	0.7675668978348099	42.484275764398014
GOTERM_BP_ALL	GO:0016072~rRNA metabolic process	5	2.3041474654377883	0.03690866904912611	591121, 577044, 575632, 586103, 577954	50	29	1094	3.772413793103449	0.9999999996877735	0.7675668978348099	42.484275764398014
GOTERM_BP_ALL	GO:0043170~macromolecule metabolic process	29	13.36405529953917	0.04254878816224368	591121, 576760, 577044, 584962, 100889149, 580958, 586103, 373196, 575347, 579797, 594039, 105438529, 752151, 587575, 579019, 586283, 762595, 584839, 583455, 577730, 575334, 578762, 592267, 578688, 575632, 585921, 577954, 585458, 590942	50	483	1094	1.3137060041407866	0.9999999999897696	0.794354950583892	47.24422995081679
GOTERM_BP_ALL	GO:0044267~cellular protein metabolic process	18	8.294930875576037	0.045172292364664995	587575, 576760, 579019, 586283, 577044, 100889149, 762595, 584839, 373196, 583455, 575347, 577730, 575334, 578762, 585921, 585458, 752151, 590942	50	256	1094	1.5384375	0.9999999999979281	0.79454017290813	49.330838503066666
GOTERM_BP_ALL	GO:0006626~protein targeting to mitochondrion	3	1.3824884792626728	0.04631098497110905	589835, 585934, 589195	50	8	1094	8.205	0.9999999999989655	0.7841497467296448	50.21233937744714
GOTERM_BP_ALL	GO:0070585~protein localization to mitochondrion	3	1.3824884792626728	0.04631098497110905	589835, 585934, 589195	50	8	1094	8.205	0.9999999999989655	0.7841497467296448	50.21233937744714
GOTERM_BP_ALL	GO:0072655~establishment of protein localization to mitochondrion	3	1.3824884792626728	0.04631098497110905	589835, 585934, 589195	50	8	1094	8.205	0.9999999999989655	0.7841497467296448	50.21233937744714
GOTERM_BP_ALL	GO:1990542~mitochondrial transmembrane transport	3	1.3824884792626728	0.04631098497110905	589835, 585934, 589195	50	8	1094	8.205	0.9999999999989655	0.7841497467296448	50.21233937744714
GOTERM_BP_ALL	GO:0009451~RNA modification	4	1.8433179723502304	0.04935887077022848	577044, 592267, 584962, 762595	50	19	1094	4.606315789473684	0.9999999999998395	0.7878643069046974	52.50199076204969
GOTERM_BP_ALL	GO:0042254~ribosome biogenesis	6	2.7649769585253456	0.05852155790480499	591121, 577044, 592267, 575632, 586103, 577954	50	48	1094	2.735	0.9999999999999994	0.8270653343132104	58.80811063705629
GOTERM_BP_ALL	GO:0010467~gene expression	19	8.755760368663594	0.058938520823329565	591121, 587575, 576760, 579019, 586283, 577044, 584962, 762595, 580958, 584839, 586103, 373196, 583455, 594039, 575632, 577954, 585458, 105438529, 752151	50	284	1094	1.4638028169014086	0.9999999999999996	0.8142872926666636	59.07561128807123
