Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_ALL	GO:0030529~intracellular ribonucleoprotein complex	16	7.373271889400922	1.2378876871865985E-4	591121, 587575, 576760, 579019, 586283, 577044, 586103, 584839, 580958, 592267, 594039, 575632, 577954, 585458, 105438529, 752151	58	118	1253	2.929281122150789	0.019855257555155603	0.019855257555155603	0.14968770575291002
GOTERM_CC_ALL	GO:1990904~ribonucleoprotein complex	16	7.373271889400922	1.2378876871865985E-4	591121, 587575, 576760, 579019, 586283, 577044, 586103, 584839, 580958, 592267, 594039, 575632, 577954, 585458, 105438529, 752151	58	118	1253	2.929281122150789	0.019855257555155603	0.019855257555155603	0.14968770575291002
GOTERM_CC_ALL	GO:0005615~extracellular space	7	3.225806451612903	6.146545848666389E-4	373488, 100891108, 100889149, 373196, 580528, 585147, 373503	58	25	1253	6.048965517241379	0.094804790208036	0.0485825260213244	0.741230579581853
GOTERM_CC_ALL	GO:0032991~macromolecular complex	29	13.36405529953917	8.017735395046033E-4	591121, 576760, 577044, 580958, 586103, 373354, 585934, 579797, 594039, 589195, 105438529, 752151, 587575, 589835, 579019, 586283, 584839, 577730, 575334, 763690, 578762, 592267, 578688, 575632, 585921, 576727, 577954, 585458, 590942	58	363	1253	1.7258953168044076	0.12185136485469983	0.04238852058601539	0.9658801943613793
GOTERM_CC_ALL	GO:0044421~extracellular region part	7	3.225806451612903	0.002064176141064319	373488, 100891108, 100889149, 373196, 580528, 585147, 373503	58	31	1253	4.878197997775306	0.28447743077963483	0.08027956884547216	2.469337898074442
GOTERM_CC_ALL	GO:0022624~proteasome accessory complex	4	1.8433179723502304	0.0027453971289197166	575334, 578762, 585921, 590942	58	7	1253	12.344827586206897	0.3594102023849407	0.08522138485801245	3.2719118428499727
GOTERM_CC_ALL	GO:0005730~nucleolus	6	2.7649769585253456	0.0043093280047815895	577044, 592267, 575632, 586103, 577954, 583455	58	25	1253	5.184827586206897	0.5032257925616607	0.11006181867244813	5.091573869701382
GOTERM_CC_ALL	GO:0005576~extracellular region	7	3.225806451612903	0.0060358525759145335	373488, 100891108, 100889149, 373196, 580528, 585147, 373503	58	38	1253	3.979582577132487	0.6249781539138313	0.13073751273912104	7.063910075793068
GOTERM_CC_ALL	GO:0000502~proteasome complex	4	1.8433179723502304	0.008534242597621502	575334, 578762, 585921, 590942	58	10	1253	8.641379310344828	0.7505459575426837	0.15933335123133863	9.851490531794415
GOTERM_CC_ALL	GO:0005732~small nucleolar ribonucleoprotein complex	3	1.3824884792626728	0.01861551057127352	577044, 592267, 594039	58	5	1253	12.962068965517242	0.952362524061205	0.28697391883552803	20.338197270310964
