Category	Term	Count	X.	PValue	Genes	List.Total	Pop.Hits	Pop.Total	Fold.Enrichment	Bonferroni	Benjamini	FDR	Description
BP	GO:0022613	43	1.73457039128681	1.4566382251429e-07	579931, 575751, 591121, 581865, 591435, 577044, 589486, 584539, 591189, 586103, 578233, 584413, 580493, 578606, 578794, 580433, 587044, 583048, 581649, 105438529, 588773, 590254, 591809, 587575, 579591, 575080, 588854, 575126, 582829, 575681, 582919, 592289, 582011, 592405, 592267, 575632, 575819, 577954, 584496, 577255, 585590, 583163, 580926	349	68	1094	1.98221810214057	0.0002159961340642	0.0002159961340642	0.00024169178575173	ribonucleoprotein complex biogenesis
BP	GO:0006412	45	1.8152480839048	1.65864266827014e-05	588867, 583426, 581865, 577881, 577044, 753658, 591189, 579219, 578606, 579300, 578794, 578034, 588415, 583048, 591498, 752151, 587414, 582417, 587448, 591809, 587575, 594523, 575080, 577982, 593744, 579019, 581576, 586283, 580307, 586769, 575225, 591341, 575681, 592289, 575790, 582011, 583958, 582945, 577787, 593029, 580522, 585458, 589183, 580746, 580926	349	82	1094	1.72024599902159	0.0242978123787827	0.00816576908036004	0.0275173974076171	translation
BP	GO:0016072	21	0.847115772488907	3.49669904640987e-05	579931, 575751, 591809, 591121, 579591, 591435, 588854, 577044, 589486, 586103, 582829, 578233, 580493, 575681, 582919, 592405, 575632, 577954, 575819, 583163, 588773	349	29	1094	2.26993380100781	0.0505353252763288	0.00860558373585529	0.0580030120685415	rRNA metabolic process
BP	GO:1901566	71	2.86405808793869	3.96459871586275e-05	588945, 373382, 577881, 753658, 577020, 579219, 591935, 100891910, 578034, 588415, 583048, 591498, 587575, 579751, 594523, 575080, 579019, 586283, 590056, 591341, 575681, 590061, 592365, 582011, 576006, 575210, 582945, 593029, 580522, 588680, 589183, 585458, 580926, 588867, 100894124, 581865, 583426, 581274, 584369, 577044, 591189, 578606, 579300, 578794, 582049, 752151, 578700, 587414, 582417, 585810, 587448, 591809, 592650, 762952, 577982, 579530, 593744, 581576, 580307, 586769, 548622, 587803, 575225, 592289, 575790, 583958, 577787, 579081, 575553, 579085, 580746	349	151	1094	1.47391791115581	0.0571010541328405	0.00836427522867023	0.0657621020041077	organonitrogen compound biosynthetic process
BP	GO:0043603	52	2.09762000806777	4.53310572200025e-05	577881, 753658, 579219, 578034, 583925, 588415, 583048, 591498, 587575, 594523, 575080, 579019, 586283, 591341, 583455, 575681, 582011, 580863, 577570, 100890097, 582945, 593029, 580522, 585458, 589183, 580926, 588867, 581865, 583426, 584369, 577044, 591189, 576972, 578606, 579300, 578794, 752151, 587414, 582417, 587448, 591809, 577982, 593744, 581576, 580307, 586769, 575225, 592289, 575790, 583958, 577787, 580746	349	102	1094	1.59806730715209	0.065017514182841	0.00836822503811563	0.0751887822494246	cellular amide metabolic process
BP	GO:1901564	86	3.46914078257362	7.19632531010777e-05	588945, 592592, 373382, 577881, 753658, 583929, 577166, 577020, 579219, 578034, 591935, 100891910, 583048, 588415, 583925, 582165, 591498, 591899, 594523, 579751, 587575, 575080, 579019, 586283, 590056, 591341, 575681, 590061, 592365, 580863, 582011, 577570, 576006, 100890097, 575210, 593029, 582945, 578453, 580522, 588680, 589183, 585458, 580926, 588867, 100894124, 581274, 581865, 583426, 584369, 577044, 591189, 576972, 578606, 575347, 579300, 578794, 582049, 585797, 752151, 578700, 587414, 582417, 585810, 587448, 591809, 592650, 762952, 579530, 577982, 593744, 581576, 580307, 586769, 548622, 587803, 575225, 548616, 593509, 575790, 592289, 583958, 577787, 579081, 575553, 579085, 580746	349	194	1094	1.38959619531504	0.101227508139964	0.0106157850249795	0.119337745221304	organonitrogen compound metabolic process
BP	GO:0010467	117	4.71964501815248	0.00011611077142462	577881, 753658, 580958, 578233, 579219, 593673, 578228, 578034, 373339, 594039, 583048, 588415, 584640, 591498, 590254, 587575, 594523, 575080, 579019, 592015, 579207, 575681, 583455, 593029, 582945, 577255, 585635, 579931, 575751, 588867, 583426, 581769, 577044, 591435, 584962, 591189, 578214, 576972, 590047, 578606, 580433, 105438529, 752151, 588773, 587414, 582417, 591809, 594541, 593744, 581576, 100891218, 588854, 586014, 580307, 586769, 582829, 588659, 587803, 575952, 575225, 593496, 583958, 373348, 580902, 591121, 589486, 574588, 586103, 580493, 581160, 754661, 752563, 590747, 583925, 592057, 593983, 575247, 579591, 586283, 591341, 582919, 582011, 575632, 580522, 577954, 589183, 585458, 583163, 580926, 100892475, 581865, 586275, 105446002, 751845, 580001, 373196, 578317, 584413, 578794, 579300, 583564, 753537, 587448, 578850, 577982, 576519, 373200, 577702, 575790, 592289, 592405, 577787, 583913, 575819, 584496, 754757, 580746	349	284	1094	1.29139594011058	0.158191117986463	0.0155328532508091	0.192481990400661	gene expression
BP	GO:0006807	168	6.77692617991126	0.00027236681578774	577881, 753658, 577166, 580958, 105447413, 578233, 579219, 593673, 578228, 578034, 100891910, 591935, 594039, 373339, 588415, 583048, 584640, 591498, 591899, 590254, 594523, 587575, 579751, 575080, 579019, 592015, 590056, 579207, 583455, 575681, 590061, 592365, 577570, 575210, 593029, 582945, 577255, 585635, 579931, 575751, 588867, 100894124, 581769, 583426, 584369, 577044, 591435, 591189, 584962, 578214, 576972, 590047, 582628, 578606, 575347, 580433, 586173, 585797, 105438529, 752151, 587414, 588773, 582417, 585810, 591809, 594541, 579530, 593744, 581576, 100891218, 588854, 105442738, 586014, 580307, 588659, 582829, 586769, 548622, 587803, 575225, 575952, 548616, 593496, 583958, 575553, 373348, 580902, 591121, 588945, 592592, 373382, 583929, 577020, 574588, 589486, 586103, 580493, 581160, 586702, 754661, 590747, 752563, 592057, 583925, 593983, 582165, 575247, 579591, 590968, 754268, 586283, 591341, 582919, 582011, 580863, 576006, 100890097, 592267, 575632, 578453, 580522, 588680, 577954, 589183, 585458, 583163, 580926, 100892475, 581865, 581274, 586275, 105446002, 751845, 580001, 373196, 578317, 584413, 579300, 578794, 582049, 583564, 578700, 753537, 587448, 592650, 762952, 578850, 577982, 576519, 373200, 577702, 592407, 574069, 593509, 592289, 575790, 100888496, 592405, 587908, 577787, 579081, 105441620, 583913, 575819, 584496, 579085, 754757, 580746	349	441	1094	1.1941601855642	0.332339190760298	0.033104237195675	0.450965087977717	nitrogen compound metabolic process
BP	GO:0034641	159	6.41387656313029	0.000402837804950738	577881, 753658, 577166, 580958, 105447413, 578233, 579219, 593673, 578228, 578034, 591935, 594039, 373339, 588415, 583048, 584640, 591498, 591899, 590254, 594523, 587575, 579751, 575080, 579019, 592015, 590056, 579207, 583455, 575681, 590061, 592365, 577570, 575210, 593029, 582945, 577255, 585635, 579931, 575751, 588867, 100894124, 581769, 583426, 584369, 577044, 591435, 584962, 591189, 578214, 576972, 590047, 582628, 578606, 575347, 580433, 585797, 105438529, 752151, 588773, 587414, 582417, 591809, 594541, 579530, 593744, 581576, 100891218, 588854, 105442738, 586014, 580307, 588659, 582829, 586769, 548622, 587803, 575225, 575952, 548616, 593496, 583958, 373348, 580902, 591121, 588945, 592592, 373382, 589486, 577020, 574588, 586103, 580493, 581160, 754661, 586702, 590747, 752563, 592057, 583925, 593983, 575247, 579591, 590968, 754268, 586283, 591341, 582919, 582011, 580863, 576006, 100890097, 592267, 575632, 580522, 588680, 577954, 589183, 585458, 583163, 580926, 100892475, 581865, 581274, 586275, 105446002, 751845, 580001, 373196, 578317, 584413, 579300, 578794, 582049, 583564, 578700, 753537, 587448, 592650, 578850, 577982, 576519, 373200, 577702, 592407, 574069, 592289, 575790, 100888496, 592405, 587908, 577787, 579081, 105441620, 583913, 575819, 584496, 579085, 754757, 580746	349	416	1094	1.19810722944677	0.449830477998072	0.044923422525369	0.666311764015881	cellular nitrogen compound metabolic process
BP	GO:0034660	27	1.08914885034288	0.000555165577963926	579931, 591121, 575751, 577044, 591435, 589486, 584962, 586103, 578233, 580493, 578228, 588773, 591809, 579591, 100891218, 588854, 582829, 587803, 575681, 582919, 575790, 592405, 582945, 575632, 577954, 575819, 583163	349	47	1094	1.80076815216729	0.561124354451875	0.0534226708571462	0.91717985685239	ncRNA metabolic process
