term_ID	description
GO:0008152	metabolic process
GO:0016072	rRNA metabolic process
GO:0017038	protein import
GO:0022613	ribonucleoprotein complex biogenesis
GO:0071840	cellular component organization or biogenesis
GO:0009056	catabolic process
GO:0006457	protein folding
GO:0006807	nitrogen compound metabolic process
GO:1901575	organic substance catabolic process
GO:0044238	primary metabolic process
GO:0044237	cellular metabolic process
GO:0043170	macromolecule metabolic process
GO:0071704	organic substance metabolic process
GO:0006413	translational initiation
GO:0010467	gene expression
GO:0043603	cellular amide metabolic process
GO:0006839	mitochondrial transport
GO:0048870	cell motility
GO:0010608	posttranscriptional regulation of gene expression
GO:1901564	organonitrogen compound metabolic process
GO:0051674	localization of cell
GO:0006354	DNA-templated transcription, elongation
GO:0046034	ATP metabolic process
GO:0090501	RNA phosphodiester bond hydrolysis
GO:0019538	protein metabolic process
GO:0044267	cellular protein metabolic process
GO:0034660	ncRNA metabolic process
GO:0034641	cellular nitrogen compound metabolic process
GO:0044260	cellular macromolecule metabolic process
GO:1901566	organonitrogen compound biosynthetic process
GO:0006396	RNA processing
GO:0044271	cellular nitrogen compound biosynthetic process
GO:0071826	ribonucleoprotein complex subunit organization
GO:0016070	RNA metabolic process
GO:0007005	mitochondrion organization
GO:1902582	single-organism intracellular transport
GO:0034248	regulation of cellular amide metabolic process
GO:0032543	mitochondrial translation
GO:0006417	regulation of translation
GO:0000470	maturation of LSU-rRNA
GO:0006403	RNA localization
GO:1902600	hydrogen ion transmembrane transport
GO:0033750	ribosome localization
GO:0006818	hydrogen transport
GO:0000460	maturation of 5.8S rRNA
GO:0044085	cellular component biogenesis
GO:0000469	cleavage involved in rRNA processing
GO:0071166	ribonucleoprotein complex localization
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0043933	macromolecular complex subunit organization
GO:0071806	protein transmembrane transport
GO:0071426	ribonucleoprotein complex export from nucleus
GO:0006412	translation
