Category	Term	Count	X.	PValue	Genes	List.Total	Pop.Hits	Pop.Total	Fold.Enrichment	Bonferroni	Benjamini	FDR	description
BP	GO:0022613	23	4.29906542056075	1.28378670266427e-08	591121, 587575, 579591, 575080, 581865, 588854, 577044, 589486, 586103, 575126, 578233, 580493, 578606, 582919, 582011, 592405, 587044, 592267, 575632, 577954, 585590, 105438529, 577255	99	68	1094	3.73767082590612	1.02445654491801e-05	1.02445654491801e-05	1.96996895351909e-05	ribonucleoprotein complex biogenesis
BP	GO:0016072	12	2.24299065420561	1.52416335801311e-05	582919, 591121, 579591, 592405, 577044, 588854, 589486, 575632, 586103, 577954, 578233, 580493	99	29	1094	4.57262277951933	0.0120892470024899	0.00404609782904086	0.0233857116217595	rRNA metabolic process
BP	GO:0034660	15	2.80373831775701	2.44900583461844e-05	591121, 579591, 588854, 577044, 589486, 584962, 586103, 578233, 580493, 582919, 575790, 592405, 575632, 582945, 577954	99	47	1094	3.52675693101225	0.0193535734771245	0.00487391023203887	0.0375733644848331	ncRNA metabolic process
BP	GO:0071840	38	7.10280373831776	0.000345232291068999	591121, 581865, 577044, 589486, 586103, 578233, 580493, 578606, 589392, 585934, 587044, 577928, 589195, 588415, 591498, 105438529, 373503, 587414, 587575, 579591, 575080, 589835, 588854, 587798, 580307, 575126, 582919, 582011, 763690, 583958, 592405, 592267, 575632, 577954, 373348, 580528, 577255, 585590	99	250	1094	1.67967676767677	0.24084016250277	0.0448852821968708	0.528448769178136	cellular component organization or biogenesis
BP	GO:0010467	41	7.66355140186916	0.000539695358141034	591121, 581865, 577044, 589486, 584962, 580958, 586103, 578233, 373196, 580493, 578317, 578606, 752563, 594039, 588415, 591498, 105438529, 752151, 587414, 587575, 579591, 575080, 586283, 588854, 576519, 580307, 583455, 582919, 593496, 575790, 582011, 583958, 592405, 582945, 575632, 593029, 577954, 373348, 585458, 577255, 100892475	99	284	1094	1.59531939109404	0.350006655118558	0.0596864347172692	0.824963773895637	gene expression
BP	GO:0044085	25	4.67289719626168	0.000648428842894805	591121, 587575, 579591, 575080, 581865, 588854, 577044, 589486, 586103, 575126, 578233, 580493, 578606, 582919, 582011, 592405, 587044, 592267, 575632, 577954, 580528, 585590, 577255, 105438529, 373503	99	140	1094	1.97330447330447	0.404059263767836	0.0626530207462788	0.990398936004966	cellular component biogenesis
BP	GO:0006413	6	1.1214953271028	0.000915342638047479	587575, 582011, 575080, 586283, 752151, 578606	99	10	1094	6.63030303030303	0.518465756700522	0.077988468113199	1.39540805701892	translational initiation
BP	GO:0034641	53	9.90654205607477	0.00109477536796256	591121, 588945, 577020, 589486, 586103, 580958, 578233, 580493, 591935, 752563, 594039, 588415, 591498, 587575, 579591, 590968, 575080, 754268, 586283, 583455, 582919, 582011, 592267, 575632, 582945, 593029, 588680, 577954, 585458, 577255, 100892475, 581865, 581274, 577044, 584962, 373196, 578317, 582628, 578606, 575347, 582049, 105438529, 752151, 587414, 588854, 576519, 580307, 574069, 593496, 575790, 583958, 592405, 373348	99	416	1094	1.40787684537685	0.582766519107568	0.0836995178011928	1.66680422494904	cellular nitrogen compound metabolic process
BP	GO:0006412	17	3.17757009345794	0.00148922913659687	587575, 575080, 581865, 586283, 577044, 580307, 578606, 582011, 575790, 583958, 582945, 593029, 588415, 585458, 591498, 752151, 587414	99	82	1094	2.2909583641291	0.695562855182738	0.102477716371814	2.26097171762211	translation
BP	GO:0006807	54	10.0934579439252	0.00272004367346309	591121, 588945, 577020, 589486, 586103, 580958, 578233, 580493, 591935, 752563, 594039, 588415, 591498, 587575, 579591, 590968, 575080, 754268, 586283, 583455, 582919, 582011, 592267, 575632, 582945, 593029, 588680, 577954, 585458, 577255, 100892475, 581865, 581274, 577044, 584962, 373196, 578317, 582628, 578606, 575347, 582049, 105438529, 752151, 587414, 762952, 588854, 576519, 580307, 574069, 593496, 575790, 583958, 592405, 373348	99	441	1094	1.35312306740878	0.886227253500153	0.143802096348995	4.09345002420687	nitrogen compound metabolic process
BP	GO:1990542	5	0.934579439252336	0.0032039105174661	589835, 581274, 585934, 589195, 577928	99	8	1094	6.90656565656566	0.922759018495246	0.156943814964719	4.80501224286147	mitochondrial transmembrane transport
BP	GO:0006396	16	2.99065420560748	0.00323229547933564	591121, 579591, 588854, 577044, 589486, 584962, 586103, 580958, 578233, 580493, 582919, 592405, 575632, 594039, 577954, 105438529	99	80	1094	2.21010101010101	0.924494474735873	0.149109507960517	4.84660080652256	RNA processing
BP	GO:1901566	24	4.48598130841121	0.00463829549324374	762952, 587575, 588945, 575080, 581865, 581274, 586283, 577044, 577020, 580307, 578606, 582049, 591935, 582011, 575790, 583958, 582945, 593029, 588415, 588680, 585458, 591498, 752151, 587414	99	151	1094	1.75637166365643	0.975521753161023	0.186256008241675	6.88549044789125	organonitrogen compound biosynthetic process
BP	GO:0044260	56	10.4672897196262	0.00467050506875768	591121, 589486, 100889149, 586103, 580958, 578233, 580493, 752563, 594039, 588415, 591498, 587575, 575080, 590968, 579591, 581896, 586283, 754268, 752566, 583455, 582919, 582011, 575334, 578762, 592267, 585921, 575632, 582945, 593029, 577954, 585458, 577255, 100892475, 581865, 591601, 577044, 584962, 373196, 578317, 582628, 578606, 575347, 105438529, 752151, 587414, 580091, 588854, 576519, 587798, 580307, 593496, 575790, 583958, 592405, 373348, 590942	99	472	1094	1.3110768703989	0.976145773695835	0.178497854811053	6.93171654070619	cellular macromolecule metabolic process
BP	GO:1902582	6	1.1214953271028	0.00542906745443329	589835, 581274, 585934, 587798, 589195, 577928	99	14	1094	4.73593073593074	0.987018097447712	0.195239008114513	8.0141974721422	single-organism intracellular transport
BP	GO:0043603	18	3.36448598130841	0.00625452567890961	587575, 575080, 581865, 586283, 577044, 580307, 578606, 583455, 582011, 575790, 583958, 582945, 593029, 588415, 585458, 591498, 752151, 587414	99	102	1094	1.95008912655971	0.993307617894773	0.203542217246847	9.17876110209067	cellular amide metabolic process
BP	GO:0017038	5	0.934579439252336	0.00834481665585332	589835, 585934, 587798, 589195, 577928	99	10	1094	5.52525252525253	0.998753111446233	0.243179620296371	12.0664159417152	protein import
BP	GO:0006839	5	0.934579439252336	0.00834481665585332	589835, 581274, 585934, 589195, 577928	99	10	1094	5.52525252525253	0.998753111446233	0.243179620296371	12.0664159417152	mitochondrial transport
