Category	Term	Count	X.	PValue	Genes	List.Total	Pop.Hits	Pop.Total	Fold.Enrichment	Bonferroni	Benjamini	FDR	description
BP	GO:0051246	9	4.14746543778802	0.000748478606332938	575347, 577730, 587575, 578762, 585921, 100889149, 373196, 752151, 583455	50	47	1094	4.18978723404255	0.35323848544986	0.35323848544986	1.09520825776379	regulation of protein metabolic process
BP	GO:0032268	8	3.68663594470046	0.00251416507130209	575347, 577730, 587575, 585921, 100889149, 373196, 752151, 583455	50	44	1094	3.97818181818182	0.768942014148495	0.519315086723636	3.63470619812489	regulation of cellular protein metabolic process
BP	GO:0006396	10	4.60829493087558	0.00699134016476281	591121, 577044, 584962, 575632, 594039, 762595, 580958, 586103, 577954, 105438529	50	80	1094	2.735	0.983147400523262	0.639697956872844	9.80421188604478	RNA processing
BP	GO:0034470	7	3.2258064516129	0.00903511454879433	591121, 577044, 584962, 575632, 762595, 586103, 577954	50	42	1094	3.64666666666667	0.994919451347317	0.652318067474937	12.4963291979336	ncRNA processing
BP	GO:0009894	4	1.84331797235023	0.0108171069554384	578762, 585921, 100889149, 752151	50	11	1094	7.95636363636364	0.998217705424448	0.651799080028894	14.7823118289212	regulation of catabolic process
BP	GO:0034660	7	3.2258064516129	0.0155739469881604	591121, 577044, 584962, 575632, 762595, 586103, 577954	50	47	1094	3.25872340425532	0.999892213706243	0.680794443694559	20.6148503573171	ncRNA metabolic process
BP	GO:0006457	5	2.30414746543779	0.0167714362142978	373207, 586525, 373519, 582138, 588440	50	23	1094	4.75652173913044	0.999946922398176	0.665042162885113	22.0233424471701	protein folding
BP	GO:0000470	3	1.38248847926267	0.0262754383112119	591121, 577044, 577954	50	6	1094	10.94	0.999999813866413	0.787684121688901	32.4037905971789	maturation of LSU-rRNA
BP	GO:0022613	8	3.68663594470046	0.0277185152539116	591121, 587575, 577044, 592267, 575632, 586103, 577954, 105438529	50	68	1094	2.57411764705882	0.999999921484928	0.774011344072999	33.8623144367051	ribonucleoprotein complex biogenesis
BP	GO:0044260	29	13.3640552995392	0.0308313238360226	591121, 576760, 577044, 584962, 100889149, 580958, 586103, 373196, 575347, 579797, 594039, 105438529, 752151, 587575, 579019, 586283, 762595, 584839, 583455, 577730, 575334, 578762, 592267, 578688, 575632, 585921, 577954, 585458, 590942	50	472	1094	1.34432203389831	0.999999987854012	0.781037670818433	36.9091454301448	cellular macromolecule metabolic process
BP	GO:0071806	3	1.38248847926267	0.0357430397686683	589835, 585934, 589195	50	7	1094	9.37714285714286	0.999999999368753	0.803969780180185	41.4519196755879	protein transmembrane transport
BP	GO:0065002	3	1.38248847926267	0.0357430397686683	589835, 585934, 589195	50	7	1094	9.37714285714286	0.999999999368753	0.803969780180185	41.4519196755879	intracellular protein transmembrane transport
BP	GO:0042273	4	1.84331797235023	0.0368808122579726	591121, 577044, 575632, 577954	50	17	1094	5.14823529411765	0.999999999682473	0.790320608245909	42.4598031604674	ribosomal large subunit biogenesis
BP	GO:0043170	29	13.3640552995392	0.0425487881622437	591121, 576760, 577044, 584962, 100889149, 580958, 586103, 373196, 575347, 579797, 594039, 105438529, 752151, 587575, 579019, 586283, 762595, 584839, 583455, 577730, 575334, 578762, 592267, 578688, 575632, 585921, 577954, 585458, 590942	50	483	1094	1.31370600414079	0.99999999998977	0.794354950583892	47.2442299508168	macromolecule metabolic process
BP	GO:0044267	18	8.29493087557604	0.045172292364665	587575, 576760, 579019, 586283, 577044, 100889149, 762595, 584839, 373196, 583455, 575347, 577730, 575334, 578762, 585921, 585458, 752151, 590942	50	256	1094	1.5384375	0.999999999997928	0.79454017290813	49.3308385030667	cellular protein metabolic process
BP	GO:0006626	3	1.38248847926267	0.046310984971109	589835, 585934, 589195	50	8	1094	8.205	0.999999999998965	0.784149746729645	50.2123393774471	protein targeting to mitochondrion
BP	GO:0009451	4	1.84331797235023	0.0493588707702285	577044, 592267, 584962, 762595	50	19	1094	4.60631578947368	0.999999999999839	0.787864306904697	52.5019907620497	RNA modification
BP	GO:0010467	19	8.75576036866359	0.0589385208233296	591121, 587575, 576760, 579019, 586283, 577044, 584962, 762595, 580958, 584839, 586103, 373196, 583455, 594039, 575632, 577954, 585458, 105438529, 752151	50	284	1094	1.46380281690141	1	0.814287292666664	59.0756112880712	gene expression
BP	GO:0019538	18	8.29493087557604	0.0607955822937131	587575, 576760, 579019, 586283, 577044, 100889149, 762595, 584839, 373196, 583455, 575347, 577730, 575334, 578762, 585921, 585458, 752151, 590942	50	265	1094	1.48618867924528	1	0.809725086478799	60.2474554586933	protein metabolic process
BP	GO:0048522	6	2.76497695852535	0.0630198946271381	575347, 585921, 373196, 580528, 752151, 373503	50	49	1094	2.67918367346939	1	0.807400372469897	61.6098678140294	positive regulation of cellular process
BP	GO:0048518	6	2.76497695852535	0.0630198946271381	575347, 585921, 373196, 580528, 752151, 373503	50	49	1094	2.67918367346939	1	0.807400372469897	61.6098678140294	positive regulation of biological process
BP	GO:0006412	8	3.68663594470046	0.0670226340117178	587575, 576760, 579019, 577044, 586283, 584839, 585458, 752151	50	82	1094	2.13463414634146	1	0.801116207964446	63.9525790622879	translation
BP	GO:0051336	3	1.38248847926267	0.0703021579546118	575347, 577730, 585921	50	10	1094	6.564	1	0.804411245143327	65.7719640904394	regulation of hydrolase activity
BP	GO:0042981	3	1.38248847926267	0.0703021579546118	575347, 577730, 373196	50	10	1094	6.564	1	0.804411245143327	65.7719640904394	regulation of apoptotic process
BP	GO:0006839	3	1.38248847926267	0.0703021579546118	589835, 585934, 589195	50	10	1094	6.564	1	0.804411245143327	65.7719640904394	mitochondrial transport
BP	GO:0010608	3	1.38248847926267	0.0703021579546118	587575, 752151, 583455	50	10	1094	6.564	1	0.804411245143327	65.7719640904394	posttranscriptional regulation of gene expression
BP	GO:0017038	3	1.38248847926267	0.0703021579546118	589835, 585934, 589195	50	10	1094	6.564	1	0.804411245143327	65.7719640904394	protein import
BP	GO:0006413	3	1.38248847926267	0.0703021579546118	587575, 586283, 752151	50	10	1094	6.564	1	0.804411245143327	65.7719640904394	translational initiation
BP	GO:0034641	25	11.5207373271889	0.0726807269507838	592650, 591121, 587575, 576760, 579019, 577044, 586283, 584962, 762595, 580958, 586103, 584839, 373196, 583455, 575347, 574069, 579797, 578688, 592267, 594039, 575632, 577954, 585458, 105438529, 752151	50	416	1094	1.31490384615385	1	0.791628986709322	67.0375750031159	cellular nitrogen compound metabolic process
BP	GO:0043603	9	4.14746543778802	0.0773959255241043	587575, 576760, 579019, 577044, 586283, 584839, 585458, 752151, 583455	50	102	1094	1.93058823529412	1	0.801438688992947	69.4185846311279	cellular amide metabolic process
BP	GO:0006807	26	11.9815668202765	0.0795048211667003	592650, 591121, 587575, 576760, 579019, 577044, 586283, 584962, 762595, 580958, 586103, 584839, 373196, 583455, 575347, 574069, 579857, 579797, 578688, 592267, 594039, 575632, 577954, 585458, 105438529, 752151	50	441	1094	1.28997732426304	1	0.799544741742215	70.430746329887	nitrogen compound metabolic process
BP	GO:0034248	3	1.38248847926267	0.0835210581766971	587575, 752151, 583455	50	11	1094	5.96727272727273	1	0.805517599759393	72.2725397958194	regulation of cellular amide metabolic process
BP	GO:0044085	11	5.06912442396313	0.0842575246702798	591121, 587575, 373354, 577044, 592267, 575632, 586103, 577954, 580528, 105438529, 373503	50	140	1094	1.71914285714286	1	0.798278140819089	72.5984471015484	cellular component biogenesis
BP	GO:0030155	2	0.921658986175115	0.087612545181153	580528, 373503	50	2	1094	21.88	1	0.801524115673036	74.0384653070625	regulation of cell adhesion
BP	GO:0030334	2	0.921658986175115	0.087612545181153	580528, 373503	50	2	1094	21.88	1	0.801524115673036	74.0384653070625	regulation of cell migration
BP	GO:0032231	2	0.921658986175115	0.087612545181153	580528, 373503	50	2	1094	21.88	1	0.801524115673036	74.0384653070625	regulation of actin filament bundle assembly
