Category	Term	Count	X.	PValue	Genes	List.Total	Pop.Hits	Pop.Total	Fold.Enrichment	Bonferroni	Benjamini	FDR	description
CC	GO:1990904	63	2.54134731746672	9.33213193526332e-07	591121, 577881, 753658, 589486, 584539, 586103, 580958, 579219, 580493, 578034, 590747, 587044, 594039, 588415, 583048, 591498, 590254, 587575, 594523, 575080, 579019, 586283, 589713, 591341, 575681, 582919, 592267, 575632, 593029, 580522, 577954, 589183, 585458, 583163, 580926, 579931, 588867, 581865, 577044, 591435, 105446002, 591189, 580001, 578606, 579300, 578794, 580433, 105438529, 752151, 587414, 587448, 591809, 594541, 578850, 577982, 580091, 593744, 581576, 586769, 592289, 583913, 584496, 577693	402	118	1253	1.66411586137111	0.000372282923457035	0.000372282923457035	0.00130116924698109	ribonucleoprotein complex
CC	GO:0031974	59	2.37999193223074	6.07098838777236e-06	373276, 577881, 589486, 586103, 578233, 580493, 579219, 593673, 587044, 373339, 588415, 593983, 584640, 591498, 588091, 594523, 584500, 583455, 575681, 592267, 575632, 593029, 577954, 105444885, 577255, 100892475, 580926, 583163, 579931, 588867, 590089, 581769, 764204, 586275, 577044, 591435, 591189, 580475, 578317, 575347, 583564, 591574, 752151, 587414, 753537, 587448, 592650, 589835, 581576, 574660, 576519, 575126, 582829, 588659, 592407, 575819, 373348, 577693, 754757	402	113	1253	1.62741601725884	0.00241940024170928	0.0012104326945086	0.00846443321060875	membrane-enclosed lumen
CC	GO:0070013	54	2.17829770068576	6.02091377241674e-05	373276, 577881, 589486, 586103, 578233, 580493, 579219, 593673, 587044, 373339, 588415, 593983, 584640, 591498, 594523, 584500, 583455, 575681, 592267, 575632, 593029, 577954, 577255, 105444885, 100892475, 580926, 583163, 579931, 588867, 590089, 581769, 764204, 586275, 591435, 577044, 591189, 580475, 578317, 583564, 591574, 752151, 587414, 753537, 587448, 581576, 576519, 588659, 582829, 575126, 592407, 575819, 373348, 577693, 754757	402	107	1253	1.57302273678337	0.0237378859980734	0.00598804208178605	0.0839167659648976	intracellular organelle lumen
CC	GO:0030684	13	0.524405002016942	0.000168657097470708	582919, 579931, 591121, 591435, 587044, 589486, 584539, 575632, 586103, 577954, 589183, 580493, 583163	402	15	1253	2.70132669983416	0.0650851817781403	0.0133697911157048	0.23490172626851	preribosome
CC	GO:0032991	143	5.76845502218637	0.00040043732948032	577881, 753658, 577167, 580958, 578233, 579219, 593673, 578228, 578034, 576711, 373335, 594039, 373339, 583048, 588415, 584640, 591498, 588091, 575187, 373267, 591899, 590254, 594523, 587575, 579751, 575080, 579019, 578920, 762933, 575681, 575334, 763690, 582320, 593029, 582945, 576727, 577255, 579931, 588867, 581769, 591601, 577044, 591435, 591189, 578606, 580433, 591205, 577928, 585797, 105438529, 752151, 587414, 591809, 594541, 593744, 581576, 580307, 588659, 586769, 548622, 576984, 575952, 581807, 590445, 373348, 577693, 577412, 590942, 591121, 587539, 581255, 373382, 589486, 584539, 586103, 585866, 580493, 373230, 575822, 585934, 590747, 587044, 583925, 373373, 593983, 587442, 579450, 586283, 586589, 589713, 591341, 577730, 582919, 578310, 576006, 581558, 578762, 592267, 575632, 585921, 578453, 580522, 577954, 589183, 585458, 583163, 580926, 100892475, 575406, 581274, 590089, 581865, 586275, 105446002, 580001, 580475, 578317, 589392, 578794, 579300, 583564, 591043, 589195, 578700, 753537, 587448, 373309, 580091, 578850, 577982, 373401, 589835, 576519, 574660, 574071, 592407, 583575, 592289, 583913, 575819, 584496, 579085, 754757	402	363	1253	1.22787577265189	0.147691299154929	0.0262828476132987	0.556884324709062	macromolecular complex
CC	GO:0044429	37	1.49253731343284	0.000816622999344212	588867, 581274, 577881, 585826, 577167, 763450, 590069, 580475, 579219, 575347, 585934, 577928, 589195, 588415, 585797, 591498, 587414, 588418, 591899, 588091, 587448, 592650, 594523, 579751, 577217, 589835, 581576, 574660, 584500, 575225, 575681, 578310, 576006, 576005, 575210, 593029, 580926	402	72	1253	1.60174820342731	0.278170047296519	0.0454989418251851	1.13261785391674	mitochondrial part
CC	GO:0000313	12	0.484066155707947	0.00115855787968398	587448, 588867, 594523, 581576, 577881, 593029, 588415, 591498, 579219, 575681, 587414, 580926	402	15	1253	2.49353233830846	0.370313108741634	0.0561769454715595	1.60331896504917	organellar ribosome
CC	GO:0005761	12	0.484066155707947	0.00115855787968398	587448, 588867, 594523, 581576, 577881, 593029, 588415, 591498, 579219, 575681, 587414, 580926	402	15	1253	2.49353233830846	0.370313108741634	0.0561769454715595	1.60331896504917	mitochondrial ribosome
CC	GO:0044428	56	2.25897539330375	0.00204094410890521	589486, 586103, 580958, 578233, 580493, 593673, 590747, 587044, 373339, 594039, 593983, 587442, 584640, 590254, 762933, 583455, 592267, 575632, 577954, 105444885, 577255, 100892475, 583163, 579931, 590089, 591601, 581769, 764204, 586275, 577044, 591435, 105446002, 591189, 580001, 578317, 583564, 580433, 591574, 105438529, 752151, 753537, 594541, 585718, 578850, 576519, 575126, 582829, 588659, 592407, 583913, 575819, 373348, 584496, 577693, 754757, 577412	402	125	1253	1.39637810945274	0.557435401432266	0.0865935489013597	2.80840192791828	nuclear part
CC	GO:0000502	9	0.36304961678096	0.00244697986949973	587539, 590445, 575334, 578762, 585921, 576984, 575952, 754757, 590942	402	10	1253	2.80522388059701	0.623765051778113	0.0850331155525669	3.35831325297409	proteasome complex
CC	GO:0005739	49	1.97660346914078	0.00311959089055441	577881, 576818, 585826, 577166, 577167, 590069, 579219, 100891910, 585934, 588415, 591498, 588418, 591899, 588091, 579751, 594523, 584500, 575681, 578310, 592365, 576006, 576005, 575210, 593029, 578453, 589089, 583558, 580926, 588867, 583426, 581274, 763450, 580475, 575347, 589195, 577928, 585797, 587414, 587448, 592650, 577217, 589835, 581576, 100891218, 574660, 105442738, 575225, 753857, 583958	402	108	1253	1.41415607149438	0.712537343076019	0.0986742341013057	4.262907781967	mitochondrion
CC	GO:0005840	30	1.21016538926987	0.0050730442861039	588867, 581865, 577881, 753658, 584539, 579219, 578794, 579300, 578034, 583048, 588415, 591498, 587414, 587448, 591809, 594523, 580091, 577982, 593744, 579019, 581576, 586283, 586769, 591341, 575681, 593029, 580522, 589183, 585458, 580926	402	60	1253	1.55845771144279	0.868572037161485	0.134934231542305	6.84574125936764	ribosome
CC	GO:0030687	7	0.282371924162969	0.00534033682448083	579931, 591435, 587044, 584539, 575632, 577954, 589183	402	7	1253	3.11691542288557	0.881933152479701	0.125000110934563	7.19407775768756	preribosome, large subunit precursor
CC	GO:0044422	141	5.68777732956837	0.00666981130040054	373276, 577881, 753658, 585826, 577167, 580958, 590069, 592952, 578233, 579219, 593673, 753827, 373335, 594039, 373339, 593362, 583048, 588415, 584640, 591498, 588418, 588091, 575187, 591899, 590254, 594523, 579751, 762933, 584500, 583455, 575681, 763690, 575210, 582320, 593029, 576727, 576910, 577255, 579931, 588867, 582621, 581769, 591601, 577044, 591435, 591189, 763450, 576972, 575347, 105441035, 580433, 577928, 585797, 105438529, 591574, 752151, 587414, 591809, 594541, 577217, 585718, 593744, 581576, 586769, 582829, 588659, 575225, 581807, 373348, 577412, 577693, 589486, 584539, 586103, 578962, 585866, 592785, 580493, 373230, 585934, 590747, 587044, 583925, 373373, 593983, 587442, 582165, 591341, 577730, 580876, 578310, 576006, 581558, 576005, 592267, 100891893, 575632, 580522, 583162, 577954, 589183, 105444885, 583163, 580926, 100892475, 575406, 586329, 581274, 764204, 590089, 581865, 586275, 105446002, 373418, 580001, 580475, 578317, 589392, 578794, 579300, 583564, 591043, 581334, 589195, 753537, 587448, 592650, 373309, 578850, 577982, 589835, 576519, 574660, 587798, 575126, 592407, 583575, 583913, 575819, 584496, 754757	402	377	1253	1.16574290351954	0.93075950529351	0.14535473293977	8.90876093715409	organelle part
CC	GO:0015934	16	0.645421540943929	0.0137209151812126	591809, 581865, 577881, 581576, 753658, 584539, 586769, 591341, 579300, 593029, 583048, 588415, 589183, 591498, 580926, 587414	402	28	1253	1.78109452736318	0.995964200524055	0.251836884456533	17.5217056788163	large ribosomal subunit
CC	GO:0071013	8	0.322710770471965	0.0151596996083344	594541, 578850, 580433, 594039, 583913, 584496, 105438529, 577693	402	10	1253	2.49353233830846	0.997745973783218	0.262693694306072	19.1835700568967	catalytic step 2 spliceosome
CC	GO:0043228	72	2.90439693424768	0.0213601126418476	577881, 753658, 589486, 584539, 586103, 585866, 579219, 580493, 593673, 373230, 578034, 373335, 587044, 373373, 583048, 593362, 588415, 593983, 591498, 594523, 579019, 586283, 591341, 575681, 583455, 763690, 581558, 592267, 582320, 575632, 593029, 580522, 577954, 589183, 585458, 577255, 583163, 100892475, 580926, 579931, 588867, 575406, 582621, 764204, 581865, 577044, 591435, 373192, 591189, 578317, 579300, 578794, 591043, 591574, 752151, 587414, 587448, 591809, 373309, 580091, 577982, 593744, 581576, 587798, 575126, 582829, 586769, 583575, 592407, 373348, 577412, 577693	402	183	1253	1.22632737949596	0.999818639717884	0.336508532769938	25.9959516257446	non-membrane-bounded organelle
CC	GO:0005737	180	7.2609923356192	0.0249512049967719	100890790, 580646, 590262, 373276, 577881, 753658, 585826, 577166, 577167, 590069, 592952, 590365, 578233, 579219, 591788, 577900, 578228, 578034, 100891910, 576711, 753827, 373339, 588415, 583048, 591498, 588418, 591499, 588091, 575187, 591899, 594523, 587575, 579751, 594428, 575080, 578520, 579019, 581305, 578920, 590056, 584500, 589147, 575681, 592365, 577570, 575210, 582320, 593029, 582945, 576727, 576910, 578394, 591581, 579931, 588867, 582621, 583426, 584369, 763450, 591189, 585806, 576972, 754252, 578606, 575347, 105441035, 753057, 580433, 591205, 577928, 585797, 105438529, 752151, 587414, 591809, 753616, 579530, 577217, 586158, 593744, 580806, 581576, 100891218, 105442738, 590611, 580307, 586769, 587803, 575225, 576984, 581807, 548616, 590445, 583958, 575553, 577885, 577693, 577887, 592910, 588945, 581255, 592592, 576818, 577020, 584539, 578962, 585866, 592785, 575157, 575773, 585934, 587822, 583925, 373373, 581649, 582165, 592674, 575247, 590968, 585461, 586283, 579307, 586589, 589713, 584285, 591341, 577730, 580876, 578310, 580863, 576006, 100890097, 576005, 100891893, 585921, 578453, 580522, 583162, 589089, 589183, 585458, 105444885, 580926, 583558, 577105, 583067, 578258, 586329, 581865, 581274, 373192, 373418, 580475, 589392, 579300, 578794, 581334, 589195, 575808, 753537, 587448, 592650, 762952, 373309, 589835, 580091, 577982, 373401, 574660, 587798, 574071, 588505, 753857, 592289, 575790, 100048986, 579081, 575819, 582138, 754757	402	508	1253	1.10441885062875	0.999958167519247	0.35489408057647	29.693636031418	cytoplasm
CC	GO:0031975	25	1.00847115772489	0.0267447807942623	581274, 585826, 577167, 763450, 590069, 575347, 585934, 589195, 577928, 587442, 585797, 588418, 588091, 591899, 592650, 579751, 589835, 585718, 577217, 574660, 575225, 578310, 576006, 576005, 575210	402	53	1253	1.47024312400263	0.999979933584476	0.362809085002697	31.4755255446195	envelope
CC	GO:0031967	25	1.00847115772489	0.0267447807942623	581274, 585826, 577167, 763450, 590069, 575347, 585934, 589195, 577928, 587442, 585797, 588418, 588091, 591899, 592650, 579751, 589835, 585718, 577217, 574660, 575225, 578310, 576006, 576005, 575210	402	53	1253	1.47024312400263	0.999979933584476	0.362809085002697	31.4755255446195	organelle envelope
CC	GO:0005622	294	11.8596208148447	0.0287605727109145	578584, 590262, 585826, 580958, 590365, 579219, 591788, 100891910, 576711, 753827, 594039, 593362, 584640, 591498, 591499, 588091, 575187, 591899, 590254, 585003, 579751, 587575, 575080, 579019, 581305, 579207, 589147, 592365, 575334, 582320, 582945, 576727, 578394, 585635, 579931, 591601, 584369, 585806, 576972, 575347, 580433, 591205, 752151, 753616, 579530, 577217, 585718, 593744, 580806, 581576, 590611, 105442738, 580307, 588659, 582829, 548622, 576984, 581807, 582962, 593496, 548616, 583958, 577412, 590942, 587439, 592592, 576818, 578962, 592785, 585866, 575773, 590747, 587822, 587044, 592057, 583925, 587442, 592674, 585461, 579591, 579451, 583493, 579307, 586589, 580116, 577730, 100889395, 578310, 580863, 100890097, 592267, 100891893, 578453, 584477, 580522, 585458, 105444885, 580926, 583067, 586329, 373192, 751845, 373418, 580001, 578317, 589392, 579300, 587448, 592650, 373309, 578850, 373401, 753090, 588505, 577702, 753857, 592289, 575790, 579081, 583913, 579085, 584496, 754757, 100890790, 583107, 580646, 373276, 577881, 753658, 577166, 577167, 590069, 592952, 592958, 578233, 593673, 577900, 578228, 373525, 578034, 373335, 586151, 373339, 583048, 588415, 588418, 594523, 594428, 578520, 592015, 590056, 578920, 762933, 584500, 575681, 583455, 373320, 577570, 763690, 575290, 575210, 593029, 576910, 591581, 577255, 588867, 582621, 581769, 583426, 577044, 591435, 763450, 591189, 578214, 590047, 754252, 582628, 578606, 753057, 105441035, 577928, 587412, 585797, 105438529, 591574, 587414, 591809, 594541, 100893477, 586158, 100891218, 588854, 586014, 586769, 575225, 575952, 587803, 590445, 593690, 575553, 577885, 373348, 577693, 580902, 577887, 592910, 591121, 588945, 587539, 581255, 373382, 574588, 577020, 589486, 584539, 586103, 580493, 575157, 373230, 581160, 578771, 585934, 752563, 373373, 593983, 581649, 582165, 575247, 590968, 754268, 586283, 589713, 584285, 591341, 580876, 582919, 582011, 576006, 581558, 576005, 578762, 585921, 575632, 577954, 589089, 583162, 589183, 577105, 100892475, 583558, 583163, 578258, 575406, 581865, 590089, 764204, 581274, 586275, 105446002, 591240, 580475, 584413, 578794, 591043, 583564, 581334, 589195, 575808, 753537, 762952, 577982, 580091, 589835, 578243, 576519, 574660, 587798, 580482, 574071, 575126, 763814, 581537, 592407, 583575, 574069, 100048986, 586672, 592405, 587908, 579665, 100893972, 575819, 373385, 582138	402	869	1253	1.05451453892791	0.999991226045582	0.372335140397327	33.428102186792	intracellular
CC	GO:0044424	276	11.1335215812828	0.0313102730061801	578584, 590262, 585826, 580958, 590365, 579219, 591788, 100891910, 576711, 753827, 594039, 593362, 584640, 591498, 591499, 588091, 575187, 591899, 585003, 590254, 579751, 587575, 575080, 579019, 581305, 579207, 589147, 592365, 575334, 582320, 582945, 576727, 578394, 585635, 579931, 591601, 584369, 585806, 576972, 575347, 580433, 591205, 752151, 753616, 579530, 585718, 577217, 593744, 580806, 581576, 590611, 105442738, 580307, 588659, 582829, 548622, 576984, 581807, 593496, 548616, 583958, 577412, 590942, 592592, 576818, 578962, 592785, 585866, 575773, 587822, 590747, 587044, 592057, 583925, 587442, 592674, 579591, 585461, 579451, 579307, 586589, 577730, 100889395, 578310, 580863, 100890097, 592267, 100891893, 578453, 580522, 585458, 105444885, 580926, 583067, 586329, 373192, 751845, 373418, 580001, 578317, 589392, 579300, 587448, 592650, 373309, 578850, 373401, 588505, 577702, 753857, 592289, 575790, 579081, 583913, 579085, 584496, 754757, 100890790, 583107, 580646, 373276, 577881, 753658, 577166, 577167, 590069, 592952, 592958, 578233, 593673, 577900, 578228, 578034, 373335, 373339, 583048, 588415, 588418, 594523, 594428, 578520, 592015, 590056, 578920, 762933, 584500, 575681, 583455, 763690, 577570, 575210, 593029, 576910, 591581, 577255, 588867, 582621, 581769, 583426, 577044, 591435, 763450, 591189, 578214, 590047, 754252, 582628, 578606, 753057, 105441035, 577928, 585797, 591574, 105438529, 587414, 591809, 594541, 100893477, 586158, 100891218, 588854, 586014, 586769, 575225, 575952, 587803, 590445, 575553, 577885, 373348, 577693, 580902, 577887, 592910, 591121, 588945, 587539, 581255, 373382, 577020, 589486, 574588, 584539, 586103, 580493, 575157, 373230, 581160, 578771, 585934, 752563, 373373, 593983, 581649, 582165, 575247, 590968, 754268, 586283, 589713, 584285, 591341, 580876, 582919, 576006, 581558, 576005, 578762, 585921, 575632, 577954, 589089, 583162, 589183, 577105, 100892475, 583558, 583163, 578258, 575406, 581865, 590089, 764204, 581274, 586275, 105446002, 591240, 580475, 584413, 578794, 591043, 583564, 581334, 589195, 575808, 753537, 762952, 577982, 580091, 589835, 576519, 574660, 587798, 580482, 574071, 575126, 583575, 592407, 100048986, 586672, 592405, 587908, 100893972, 575819, 582138, 373385	402	812	1253	1.05944415851776	0.999996926077428	0.386254685833247	35.8238746901069	intracellular part
CC	GO:0033290	5	0.201694231544978	0.0387151912243415	587575, 592289, 575080, 586283, 578606	402	5	1253	3.11691542288557	0.999999856126901	0.419144291309473	42.3357142631918	eukaryotic 48S preinitiation complex
CC	GO:0070993	5	0.201694231544978	0.0387151912243415	587575, 592289, 575080, 586283, 578606	402	5	1253	3.11691542288557	0.999999856126901	0.419144291309473	42.3357142631918	translation preinitiation complex
CC	GO:0005623	319	12.8680919725696	0.0642877997731691	100889243, 589852, 578584, 590262, 100889710, 585826, 580958, 590365, 579219, 591788, 100891910, 576711, 753827, 594039, 593362, 584640, 591498, 591499, 588091, 575187, 591899, 590254, 585003, 587575, 579751, 575080, 579019, 581305, 582531, 579207, 589147, 592365, 575334, 582320, 582945, 576727, 578394, 585635, 579931, 591601, 584369, 585806, 594357, 576972, 575347, 579243, 580433, 591205, 752151, 753616, 579530, 577217, 585718, 593744, 580806, 581576, 590611, 105442738, 580307, 588659, 582829, 548622, 576984, 581807, 582962, 593496, 548616, 581980, 583958, 577412, 590942, 592457, 587439, 592592, 576818, 584887, 578962, 592785, 585866, 575773, 590747, 582219, 587822, 587044, 583925, 592057, 587442, 592674, 585461, 579591, 579450, 579451, 583493, 579307, 586589, 580116, 577730, 100889395, 578310, 580863, 580868, 100890097, 592267, 100891893, 578453, 584477, 580522, 585458, 105444885, 580926, 583067, 580339, 586329, 373192, 751845, 373418, 580001, 578317, 589392, 105440441, 579300, 578700, 587448, 592650, 373309, 578850, 373401, 753090, 588505, 577702, 753857, 592289, 575790, 579081, 583913, 579085, 584496, 754757, 100890790, 583107, 580646, 373276, 577881, 753658, 577166, 577167, 590069, 592952, 592958, 578233, 593673, 577900, 373525, 578228, 578034, 373335, 586151, 373339, 583048, 588415, 588418, 577666, 594523, 594428, 578520, 592015, 590056, 578920, 762933, 584500, 591178, 575681, 583455, 373320, 577570, 763690, 575290, 575210, 593029, 576910, 591581, 577255, 588867, 582621, 581769, 583426, 577044, 591435, 763450, 591189, 578214, 590047, 754252, 578606, 582628, 753057, 105441035, 577928, 585797, 587412, 105438529, 591574, 587414, 591809, 594541, 100893477, 586158, 100891218, 588854, 586014, 586769, 575225, 575952, 587803, 590445, 593690, 584108, 579899, 575553, 577885, 373348, 577693, 585590, 580902, 577887, 592910, 591121, 588945, 587539, 581255, 373382, 577533, 574588, 577020, 589486, 584539, 586103, 580493, 575157, 373230, 581160, 578771, 585934, 752563, 373373, 593983, 581649, 582165, 575247, 590968, 575438, 754268, 586283, 589713, 584285, 591341, 580876, 582919, 582011, 576006, 581558, 576005, 578762, 585921, 575632, 577954, 589089, 583162, 589183, 577105, 100892475, 583558, 583163, 578258, 575406, 581865, 590089, 764204, 581274, 586275, 105446002, 591240, 580475, 584413, 764065, 578794, 591043, 583564, 105444279, 581334, 589195, 575808, 753537, 762952, 577982, 580091, 589835, 578243, 576519, 574660, 587798, 580482, 574071, 575126, 763814, 591159, 581537, 592407, 583575, 574069, 100048986, 586672, 592405, 587908, 579665, 100893972, 575819, 373385, 582138	402	959	1253	1.03680502596507	0.99999999999694	0.586769390250793	60.4052493828915	cell
CC	GO:0044452	6	0.242033077853973	0.0743439524676665	577044, 591435, 592267, 578317, 580493, 100892475	402	8	1253	2.33768656716418	0.999999999999959	0.630023248262983	65.9428652887786	nucleolar part
CC	GO:0044444	130	5.24405002016942	0.0773140252004454	590262, 373276, 577881, 753658, 585826, 577166, 577167, 590069, 592952, 578233, 579219, 578228, 578034, 100891910, 753827, 583048, 588415, 591498, 588418, 588091, 591899, 575187, 594523, 587575, 579751, 594428, 575080, 578520, 579019, 578920, 584500, 575681, 592365, 575210, 593029, 582945, 576727, 578394, 576910, 579931, 588867, 583426, 591189, 763450, 585806, 576972, 578606, 575347, 105441035, 753057, 580433, 591205, 577928, 585797, 105438529, 752151, 587414, 591809, 753616, 577217, 593744, 581576, 100891218, 105442738, 590611, 580307, 586769, 587803, 575225, 581807, 548616, 583958, 575553, 577693, 577887, 588945, 581255, 592592, 576818, 577020, 584539, 578962, 592785, 585934, 583925, 582165, 586283, 579307, 589713, 591341, 577730, 580876, 578310, 576006, 100890097, 576005, 100891893, 578453, 580522, 583162, 589089, 589183, 585458, 580926, 583558, 586329, 581274, 581865, 373418, 580475, 589392, 578794, 579300, 581334, 589195, 753537, 587448, 592650, 580091, 577982, 373401, 589835, 574660, 574071, 588505, 753857, 592289, 579081, 575819, 754757	402	368	1253	1.10108425264979	0.999999999999989	0.62201887431919	67.43526387347	cytoplasmic part
CC	GO:0005758	5	0.201694231544978	0.0870132571830134	575347, 588091, 592650, 589835, 574660	402	6	1253	2.59742951907131	1	0.656411244042751	71.8967211579837	mitochondrial intermembrane space
