Category	Term	Count	X.	PValue	Genes	List.Total	Pop.Hits	Pop.Total	Fold.Enrichment	Bonferroni	Benjamini	FDR	Description
MF	GO:0016798	5	1.2531328320802	0.00102401062347862	586702, 587263, 583337, 580868, 105438010	54	12	1277	9.85339506172839	0.159846778889447	0.159846778889447	1.24213694256635	hydrolase activity, acting on glycosyl bonds
MF	GO:0005044	4	1.00250626566416	0.00326434449601679	373431, 373211, 585092, 576823	54	8	1277	11.8240740740741	0.426413368120071	0.24264497632885	3.91044841966121	scavenger receptor activity
MF	GO:0038024	4	1.00250626566416	0.00326434449601679	373431, 373211, 585092, 576823	54	8	1277	11.8240740740741	0.426413368120071	0.24264497632885	3.91044841966121	cargo receptor activity
MF	GO:0004872	8	2.00501253132832	0.0118745055260164	100889243, 373431, 373211, 105439410, 100888815, 585092, 576823, 591159	54	62	1277	3.05137395459976	0.868762550160989	0.491818020125276	13.5612372824158	receptor activity
MF	GO:0060089	8	2.00501253132832	0.0118745055260164	100889243, 373431, 373211, 105439410, 100888815, 585092, 576823, 591159	54	62	1277	3.05137395459976	0.868762550160989	0.491818020125276	13.5612372824158	molecular transducer activity
MF	GO:0008237	4	1.00250626566416	0.0177715853168665	577570, 592585, 373360, 588773	54	14	1277	6.75661375661376	0.952562268703904	0.53330733225743	19.6485494723954	metallopeptidase activity
MF	GO:0003824	34	8.52130325814536	0.0241973513437703	579629, 586329, 373360, 757121, 590365, 592958, 586832, 575157, 586702, 585244, 100891910, 585404, 593362, 574551, 586173, 105438010, 588773, 578700, 587263, 583337, 592585, 580652, 579307, 576823, 575697, 591159, 577570, 580868, 577198, 100891893, 584105, 585092, 575553, 583933	54	614	1277	1.30950657497889	0.984456860607348	0.565181765466693	25.8317409984512	catalytic activity
MF	GO:0016491	10	2.5062656641604	0.0250027189493051	585244, 577198, 584105, 100891893, 579307, 585092, 574551, 575697, 583933, 586173	54	105	1277	2.25220458553792	0.986492381659686	0.511988791522137	26.575098795299	oxidoreductase activity
MF	GO:0004553	3	0.75187969924812	0.0504769482769132	587263, 583337, 105438010	54	9	1277	7.88271604938272	0.999850053218491	0.715746836373303	46.8417093494517	hydrolase activity, hydrolyzing O-glycosyl compounds
MF	GO:0005509	5	1.2531328320802	0.0800127028215919	591943, 105440441, 592971, 373360, 757121	54	40	1277	2.95601851851852	0.999999303515847	0.830033275537053	63.8469968494048	calcium ion binding
MF	GO:0016805	2	0.50125313283208	0.0813156815909593	577570, 592585	54	2	1277	23.6481481481481	0.999999452641907	0.798510511798208	64.466740732777	dipeptidase activity
MF	GO:0003796	2	0.50125313283208	0.0813156815909593	587263, 583337	54	2	1277	23.6481481481481	0.999999452641907	0.798510511798208	64.466740732777	lysozyme activity
MF	GO:0004497	3	0.75187969924812	0.0984290445609331	100891893, 579307, 575697	54	13	1277	5.45726495726496	0.999999977613558	0.828209751373437	71.7507815050476	monooxygenase activity
