Category	Term	Count	X.	PValue	Genes	List.Total	Pop.Hits	Pop.Total	Fold.Enrichment	Bonferroni	Benjamini	FDR	Description
BP	GO:0006518	41	2.30725942599887	1.39247279307825e-05	574998, 576760, 592626, 577044, 577312, 754209, 591189, 580957, 576658, 577738, 578606, 591874, 578794, 579300, 578034, 586229, 583925, 588415, 752151, 590740, 591809, 587575, 577982, 579019, 581576, 586283, 580307, 584839, 586769, 584812, 574853, 575790, 582011, 577570, 373469, 583958, 591510, 582945, 577787, 585458, 580746	261	93	1094	1.84789684011041	0.0164613969705226	0.0164613969705226	0.0224905525049945	peptide metabolic process
BP	GO:0043603	43	2.4198086662915	3.08087952073946e-05	574998, 576760, 584369, 592626, 577044, 577312, 754209, 591189, 580957, 576658, 577738, 578606, 591874, 578794, 579300, 578034, 586229, 583925, 588415, 752151, 590740, 591809, 587575, 577982, 579019, 581576, 586283, 580307, 584839, 586769, 583455, 584812, 574853, 575790, 582011, 577570, 373469, 583958, 591510, 582945, 577787, 585458, 580746	261	102	1094	1.76703478326196	0.0360584795172129	0.0181947644859561	0.0497545230033647	cellular amide metabolic process
BP	GO:1901564	67	3.77039954980304	0.000227854451211498	574998, 588945, 576760, 577020, 577738, 580957, 576658, 591874, 579857, 578034, 579414, 583925, 588415, 590740, 591899, 587575, 579751, 579019, 586283, 590056, 584839, 762595, 574853, 584340, 582011, 577570, 373469, 576006, 578397, 582945, 578453, 588680, 585458, 100894124, 581274, 592626, 584369, 577044, 577312, 591189, 754209, 2652725, 578606, 575347, 579300, 578794, 586229, 579345, 585797, 752151, 585810, 591809, 592650, 579530, 577982, 581576, 580307, 586769, 584812, 548616, 575790, 583958, 591510, 577787, 579081, 579085, 580746	261	194	1094	1.44760437650591	0.23786643268453	0.0442627456427468	0.367423685999446	organonitrogen compound metabolic process
BP	GO:1901566	55	3.09510410804727	0.000230097667978904	574998, 588945, 576760, 577020, 580957, 576658, 577738, 591874, 579857, 578034, 579414, 588415, 590740, 587575, 579751, 579019, 586283, 590056, 584839, 762595, 574853, 584340, 582011, 576006, 373469, 578397, 582945, 588680, 585458, 100894124, 581274, 584369, 592626, 577044, 754209, 591189, 578606, 578794, 579300, 752151, 585810, 592650, 591809, 577982, 579530, 581576, 580307, 586769, 584812, 575790, 583958, 579081, 577787, 579085, 580746	261	151	1094	1.52673111567836	0.239902055949426	0.0384289813418994	0.37103465210403	organonitrogen compound biosynthetic process
BP	GO:0042254	23	1.29431626336522	0.000499686827149868	574998, 579931, 575751, 591809, 591121, 579591, 592626, 577044, 589486, 586103, 575126, 577738, 580493, 582919, 584812, 578794, 587044, 592267, 575632, 577954, 581649, 585590, 583163	261	48	1094	2.00846104725415	0.448865038688246	0.0640538016494687	0.804106697202156	ribosome biogenesis
BP	GO:1902582	10	0.56274620146314	0.00136113278359134	588091, 589835, 581274, 585934, 587798, 577167, 589195, 577928, 581649, 584285	261	14	1094	2.99397920087575	0.802807620246092	0.14986281463905	2.17613890114999	single-organism intracellular transport
BP	GO:0046034	12	0.675295441755768	0.00234128452611996	575347, 591899, 548616, 592650, 579751, 579414, 581274, 576006, 579345, 2652725, 585797, 579085	261	20	1094	2.51494252873563	0.938829076279982	0.224314072384566	3.71557710261768	ATP metabolic process
BP	GO:0017038	8	0.450196961170512	0.00244491425186211	588091, 589835, 585934, 587798, 577167, 589195, 577928, 581649	261	10	1094	3.35325670498084	0.945953271218284	0.215853061706746	3.8770039797577	protein import
BP	GO:0006457	13	0.731570061902082	0.00267491920644079	373207, 581305, 588440, 577721, 580876, 578227, 587099, 586525, 373519, 582138, 575808, 577105, 577887	261	23	1094	2.36914875895386	0.958942255842063	0.217763488004302	4.23438238643887	protein folding
BP	GO:1990542	7	0.393922341024198	0.00309152626006505	588091, 589835, 581274, 585934, 577167, 589195, 577928	261	8	1094	3.6676245210728	0.97504815121854	0.218119860127534	4.87852901190278	mitochondrial transmembrane transport
