Category	Term	Count	X.	PValue	Genes	List.Total	Pop.Hits	Pop.Total	Fold.Enrichment	Bonferroni	Benjamini	FDR	Description
BP	GO:0099537	3	0.808625336927224	0.0322288897320358	574696, 755668, 105439410	33	10	1094	9.94545454545455	0.999855915773069	0.999855915773069	34.9964978458112	trans-synaptic signaling
BP	GO:0098916	3	0.808625336927224	0.0322288897320358	574696, 755668, 105439410	33	10	1094	9.94545454545455	0.999855915773069	0.999855915773069	34.9964978458112	anterograde trans-synaptic signaling
BP	GO:0099536	3	0.808625336927224	0.0322288897320358	574696, 755668, 105439410	33	10	1094	9.94545454545455	0.999855915773069	0.999855915773069	34.9964978458112	synaptic signaling
BP	GO:0007268	3	0.808625336927224	0.0322288897320358	574696, 755668, 105439410	33	10	1094	9.94545454545455	0.999855915773069	0.999855915773069	34.9964978458112	chemical synaptic transmission
BP	GO:0007186	4	1.07816711590297	0.0412780318233904	100889243, 755668, 100889710, 105439410	33	27	1094	4.91133557800224	0.99998859689015	0.996623150899063	42.549653837565	G-protein coupled receptor signaling pathway
BP	GO:0007154	10	2.69541778975741	0.0559680655919656	574696, 100889243, 755668, 105447490, 582219, 100889710, 105439410, 100892166, 100891263, 591159	33	175	1094	1.89437229437229	0.999999823637947	0.994392081223202	53.1055696141315	cell communication
BP	GO:0044699	23	6.19946091644205	0.0570370815883976	100889243, 586329, 589852, 579530, 105447490, 100889710, 757121, 2652716, 586844, 580173, 591159, 574696, 755668, 589643, 582219, 105439410, 576910, 100892166, 100891263, 586173, 593904, 755450, 753734	33	586	1094	1.30116868342124	0.999999870118902	0.981016054072677	53.7989929508403	single-organism process
BP	GO:0007155	3	0.808625336927224	0.0606026101621422	105440441, 576823, 591159	33	14	1094	7.1038961038961	0.999999953299206	0.965812696019738	56.0438902301636	cell adhesion
BP	GO:0022610	3	0.808625336927224	0.0686720521016922	105440441, 576823, 591159	33	15	1094	6.63030303030303	0.999999995453139	0.959297732101081	60.7574779958681	biological adhesion
CC	GO:0031224	33	8.89487870619946	1.77193958953601e-06	100889243, 589852, 586329, 100889710, 100893380, 586832, 105440441, 100889207, 582219, 100890002, 593904, 105438010, 593532, 755450, 100888271, 589816, 105447490, 592585, 100888815, 414330, 2652716, 575697, 586844, 591159, 105438270, 574696, 755668, 589643, 105439410, 576910, 105437474, 100892166, 100891263	47	445	1253	1.97700215156586	0.000285241837470807	0.000285241837470807	0.00214185163350811	intrinsic component of membrane
CC	GO:0016021	32	8.62533692722372	7.06977553039875e-06	100889243, 589852, 586329, 100889710, 100893380, 586832, 105440441, 100889207, 582219, 100890002, 593904, 105438010, 593532, 755450, 100888271, 589816, 105447490, 100888815, 414330, 2652716, 575697, 586844, 591159, 105438270, 574696, 755668, 589643, 105439410, 576910, 105437474, 100892166, 100891263	47	444	1253	1.9214107724746	0.00113759033691996	0.000568957024507877	0.00854541860625391	integral component of membrane
CC	GO:0016020	35	9.43396226415094	1.02108484276398e-05	100889243, 589852, 586329, 100889710, 373431, 373211, 100893380, 586832, 105440441, 100889207, 582219, 100890002, 593904, 105438010, 593532, 755450, 100888271, 589816, 105447490, 592585, 100888815, 414330, 2652716, 575697, 586844, 591159, 105438270, 574696, 755668, 589643, 105439410, 105437474, 576910, 100892166, 100891263	47	531	1253	1.75722242256681	0.00164260443613717	0.000547834880295861	0.0123418988827173	membrane
CC	GO:0031226	12	3.23450134770889	1.35107284571507e-05	574696, 100889243, 755668, 589816, 589852, 582219, 100889710, 593904, 586844, 593532, 105438270, 591159	47	67	1253	4.774849158463	0.00217287785184561	0.000543662655918542	0.0163301801214599	intrinsic component of plasma membrane
CC	GO:0005887	12	3.23450134770889	1.35107284571507e-05	574696, 100889243, 755668, 589816, 589852, 582219, 100889710, 593904, 586844, 593532, 105438270, 591159	47	67	1253	4.774849158463	0.00217287785184561	0.000543662655918542	0.0163301801214599	integral component of plasma membrane
CC	GO:0044425	33	8.89487870619946	1.91045509768439e-05	100889243, 589852, 586329, 100889710, 100893380, 586832, 105440441, 100889207, 582219, 100890002, 593904, 105438010, 593532, 755450, 100888271, 589816, 105447490, 592585, 100888815, 414330, 2652716, 575697, 586844, 591159, 105438270, 574696, 755668, 589643, 105439410, 576910, 105437474, 100892166, 100891263	47	489	1253	1.79911238741679	0.00307113647141388	0.000614983238013123	0.0230906190557767	membrane part
CC	GO:0071944	14	3.77358490566038	3.05330871842111e-05	100889243, 589816, 589852, 100889710, 586844, 105438270, 584503, 591159, 574696, 105440441, 755668, 582219, 593904, 593532	47	101	1253	3.69538655993259	0.0049038388146041	0.000818981465774971	0.0369013236169113	cell periphery
CC	GO:0044459	12	3.23450134770889	5.36048880474008e-05	574696, 100889243, 755668, 589816, 589852, 582219, 100889710, 593904, 586844, 593532, 105438270, 591159	47	77	1253	4.15473887814313	0.00859348142809624	0.00123218570635142	0.0647768870040588	plasma membrane part
CC	GO:0005886	13	3.50404312668464	0.000111363624178152	574696, 105440441, 755668, 100889243, 589816, 589852, 582219, 100889710, 586844, 593904, 593532, 591159, 105438270	47	98	1253	3.53647416413374	0.0177707462492563	0.00223880786242514	0.134530261217836	plasma membrane
CC	GO:0005576	5	1.34770889487871	0.0470636324818298	373267, 100891131, 762935, 576823, 757121	47	38	1253	3.50783874580067	0.99957411911787	0.577840603277718	44.1619682425893	extracellular region
MF	GO:0060089	12	3.23450134770889	2.22537237532994e-05	100889243, 755668, 373431, 100889710, 373211, 105439410, 100888815, 576823, 100890002, 100891263, 593532, 591159	54	62	1277	4.57706093189964	0.00410852154034835	0.00410852154034835	0.0275328861911728	molecular transducer activity
MF	GO:0004872	12	3.23450134770889	2.22537237532994e-05	100889243, 755668, 373431, 100889710, 373211, 105439410, 100888815, 576823, 100890002, 100891263, 593532, 591159	54	62	1277	4.57706093189964	0.00410852154034835	0.00410852154034835	0.0275328861911728	receptor activity
MF	GO:0004871	8	2.15633423180593	0.0118745055260164	100889243, 755668, 100889710, 105439410, 100888815, 100890002, 100891263, 593532	54	62	1277	3.05137395459976	0.890291733759238	0.308105478272275	13.740708931007	signal transducer activity
MF	GO:0016491	10	2.69541778975741	0.0250027189493051	585244, 588806, 589643, 577198, 584105, 414330, 575697, 2652716, 583933, 586173	54	105	1277	2.25220458553792	0.990760896122761	0.487875335018073	26.8978684172609	oxidoreductase activity
MF	GO:0005044	3	0.808625336927224	0.0403161652740338	373431, 373211, 576823	54	8	1277	8.86805555555556	0.999506015641579	0.613887243947687	39.9023901013417	scavenger receptor activity
MF	GO:0038024	3	0.808625336927224	0.0403161652740338	373431, 373211, 576823	54	8	1277	8.86805555555556	0.999506015641579	0.613887243947687	39.9023901013417	cargo receptor activity
MF	GO:1901618	2	0.539083557951483	0.0813156815909593	589852, 105438270	54	2	1277	23.6481481481481	0.999999846620933	0.825070562732351	64.9872485332981	organic hydroxy compound transmembrane transporter activity
MF	GO:0052689	3	0.808625336927224	0.0854984809887196	762935, 757121, 591159	54	12	1277	5.91203703703704	0.999999934064429	0.808613201803345	66.9095326131904	carboxylic ester hydrolase activity
MF	GO:0004497	3	0.808625336927224	0.0984290445609331	589643, 414330, 575697	54	13	1277	5.45726495726496	0.999999995268664	0.82494265302827	72.2555104148823	monooxygenase activity
