Category	Term	Count	X.	PValue	Genes	List.Total	Pop.Hits	Pop.Total	Fold.Enrichment	Bonferroni	Benjamini	FDR	description
CC	GO:0030529	16	7.37327188940092	0.00012378876871866	591121, 587575, 576760, 579019, 586283, 577044, 586103, 584839, 580958, 592267, 594039, 575632, 577954, 585458, 105438529, 752151	58	118	1253	2.92928112215079	0.0198552575551556	0.0198552575551556	0.14968770575291	intracellular ribonucleoprotein complex
CC	GO:1990904	16	7.37327188940092	0.00012378876871866	591121, 587575, 576760, 579019, 586283, 577044, 586103, 584839, 580958, 592267, 594039, 575632, 577954, 585458, 105438529, 752151	58	118	1253	2.92928112215079	0.0198552575551556	0.0198552575551556	0.14968770575291	ribonucleoprotein complex
CC	GO:0005615	7	3.2258064516129	0.000614654584866639	373488, 100891108, 100889149, 373196, 580528, 585147, 373503	58	25	1253	6.04896551724138	0.094804790208036	0.0485825260213244	0.741230579581853	extracellular space
CC	GO:0032991	29	13.3640552995392	0.000801773539504603	591121, 576760, 577044, 580958, 586103, 373354, 585934, 579797, 594039, 589195, 105438529, 752151, 587575, 589835, 579019, 586283, 584839, 577730, 575334, 763690, 578762, 592267, 578688, 575632, 585921, 576727, 577954, 585458, 590942	58	363	1253	1.72589531680441	0.1218513648547	0.0423885205860154	0.965880194361379	macromolecular complex
CC	GO:0022624	4	1.84331797235023	0.00274539712891972	575334, 578762, 585921, 590942	58	7	1253	12.3448275862069	0.359410202384941	0.0852213848580125	3.27191184284997	proteasome accessory complex
CC	GO:0005730	6	2.76497695852535	0.00430932800478159	577044, 592267, 575632, 586103, 577954, 583455	58	25	1253	5.1848275862069	0.503225792561661	0.110061818672448	5.09157386970138	nucleolus
CC	GO:0005576	7	3.2258064516129	0.00603585257591453	373488, 100891108, 100889149, 373196, 580528, 585147, 373503	58	38	1253	3.97958257713249	0.624978153913831	0.130737512739121	7.06391007579307	extracellular region
CC	GO:0005732	3	1.38248847926267	0.0186155105712735	577044, 592267, 594039	58	5	1253	12.9620689655172	0.952362524061205	0.286973918835528	20.338197270311	small nucleolar ribonucleoprotein complex
CC	GO:0005758	3	1.38248847926267	0.0271127331830146	575347, 592650, 589835	58	6	1253	10.801724137931	0.988355304470158	0.359361825759463	28.294818956455	mitochondrial intermembrane space
CC	GO:0031970	3	1.38248847926267	0.0271127331830146	575347, 592650, 589835	58	6	1253	10.801724137931	0.988355304470158	0.359361825759463	28.294818956455	organelle envelope lumen
CC	GO:0030684	4	1.84331797235023	0.0275158085811291	591121, 575632, 586103, 577954	58	15	1253	5.76091954022989	0.989111372636742	0.33695498793474	28.6534758147437	preribosome
CC	GO:0043228	15	6.91244239631336	0.0290579912374548	576760, 579019, 586283, 577044, 373192, 586103, 584839, 583455, 763690, 373354, 592267, 575632, 577954, 585458, 752151	58	183	1253	1.77077444884115	0.991579977520438	0.328401932839898	30.0105713104346	non-membrane-bounded organelle
CC	GO:0043232	15	6.91244239631336	0.0290579912374548	576760, 579019, 586283, 577044, 373192, 586103, 584839, 583455, 763690, 373354, 592267, 575632, 577954, 585458, 752151	58	183	1253	1.77077444884115	0.991579977520438	0.328401932839898	30.0105713104346	intracellular non-membrane-bounded organelle
CC	GO:0044424	44	20.2764976958525	0.0544798458344684	591121, 576760, 576818, 577044, 373192, 580958, 586103, 575347, 579857, 576685, 373354, 753057, 585934, 579797, 594039, 589195, 105438529, 752151, 592650, 373207, 587575, 100893477, 589835, 579019, 586283, 579451, 762595, 584839, 583455, 577730, 575334, 763690, 578762, 592267, 578688, 585921, 575632, 586525, 576727, 577954, 585458, 373385, 582138, 590942	58	812	1253	1.17063020214031	0.99988553622805	0.502468457356026	49.2303180486886	intracellular part
CC	GO:0031974	10	4.60829493087558	0.0635623884174217	575347, 592650, 589835, 577044, 592267, 575632, 586103, 577954, 752151, 583455	58	113	1253	1.9118095819347	0.999976035218422	0.532297669515641	54.8269038585642	membrane-enclosed lumen
CC	GO:0043234	18	8.29493087557604	0.0715734689281953	587575, 589835, 586283, 577730, 575334, 373354, 763690, 585934, 579797, 578762, 578688, 594039, 585921, 589195, 576727, 105438529, 752151, 590942	58	264	1253	1.47296238244514	0.999994041980925	0.551591889427806	59.2873665427179	protein complex
CC	GO:0031429	2	0.921658986175115	0.0889469108007045	577044, 592267	58	2	1253	21.6034482758621	0.999999720696112	0.610614467582822	67.6064583789175	box H/ACA snoRNP complex
CC	GO:0042555	2	0.921658986175115	0.0889469108007045	579797, 578688	58	2	1253	21.6034482758621	0.999999720696112	0.610614467582822	67.6064583789175	MCM complex
CC	GO:0005697	2	0.921658986175115	0.0889469108007045	577044, 592267	58	2	1253	21.6034482758621	0.999999720696112	0.610614467582822	67.6064583789175	telomerase holoenzyme complex
