Category	Term	Count	X.	PValue	Genes	List.Total	Pop.Hits	Pop.Total	Fold.Enrichment	Bonferroni	Benjamini	FDR	description
MF	GO:0022891	31	1.74451322453573	0.00341474997979057	580339, 589852, 581274, 585744, 594100, 577533, 577167, 590069, 764065, 575822, 579243, 100890894, 579414, 585934, 579345, 577928, 593904, 755450, 591899, 576175, 579751, 585718, 593565, 586844, 588264, 592207, 105438270, 574696, 576006, 576005, 579085	306	80	1277	1.6171160130719	0.83626303085862	0.595355749897049	4.84360063858154	substrate-specific transmembrane transporter activity
MF	GO:0008135	12	0.675295441755768	0.00411068221940023	579931, 575736, 587575, 582011, 583958, 586283, 574071, 580307, 580746, 754252, 575773, 578606	306	21	1277	2.38468720821662	0.886849062797642	0.516326026655989	5.8035439275063	translation factor activity, RNA binding
MF	GO:0060089	25	1.40686550365785	0.00546582978365662	100889243, 594100, 373431, 100889710, 373211, 581160, 100890002, 100893202, 593532, 754546, 592902, 585718, 100888815, 576823, 580676, 579394, 579291, 100891879, 591159, 755668, 579899, 105439410, 100893874, 585092, 100891263	306	62	1277	1.68274298966899	0.944941272117836	0.515597313332423	7.64696417689187	molecular transducer activity
MF	GO:0004872	25	1.40686550365785	0.00546582978365662	100889243, 594100, 373431, 100889710, 373211, 581160, 100890002, 100893202, 593532, 754546, 592902, 585718, 100888815, 576823, 580676, 579394, 579291, 100891879, 591159, 755668, 579899, 105439410, 100893874, 585092, 100891263	306	62	1277	1.68274298966899	0.944941272117836	0.515597313332423	7.64696417689187	receptor activity
MF	GO:0005198	30	1.68823860438942	0.01041632944618	574998, 576760, 592626, 754209, 580957, 576658, 577738, 591874, 578794, 579300, 578034, 105436396, 588415, 590740, 373267, 373269, 591809, 577982, 579019, 581576, 584839, 586769, 584503, 584812, 574853, 591682, 373469, 577787, 585458, 753734	306	82	1277	1.52678144428503	0.996070084530663	0.669724284710654	14.099552372344	structural molecule activity
MF	GO:0003735	24	1.35059088351154	0.0145311958125368	574998, 591809, 577982, 576760, 579019, 592626, 581576, 754209, 584839, 586769, 580957, 577738, 576658, 584812, 574853, 591874, 579300, 578794, 578034, 373469, 577787, 588415, 585458, 590740	306	63	1277	1.58979147214441	0.999566405274368	0.669186345296844	19.1408176066578	structural constituent of ribosome
MF	GO:0003723	30	1.68823860438942	0.0211484336082314	574998, 579931, 575736, 591121, 592626, 577044, 576658, 578606, 575773, 754252, 591874, 579300, 580433, 594039, 105438529, 752151, 591809, 100893477, 587575, 586283, 574071, 580307, 583455, 582919, 582011, 583958, 587908, 582945, 587839, 580746	306	86	1277	1.45576835385317	0.999987719715432	0.756694988841295	26.6737943530498	RNA binding
MF	GO:0008565	6	0.337647720877884	0.0221195475956641	589392, 588091, 589835, 585934, 577167, 577928	306	8	1277	3.12990196078431	0.999992736104884	0.731453905641692	27.7226281644621	protein transporter activity
MF	GO:0005215	35	1.96961170512099	0.0325215858009272	580339, 589852, 581274, 585744, 594100, 577533, 577167, 590069, 589392, 764065, 575822, 579243, 100890894, 579414, 585934, 579345, 577928, 593904, 755450, 577847, 591899, 588091, 576175, 579751, 585718, 589835, 593565, 586844, 588264, 105438270, 592207, 574696, 576006, 576005, 579085	306	107	1277	1.36506627573148	0.999999974634742	0.767180184975766	38.1143644604049	transporter activity
MF	GO:0003743	8	0.450196961170512	0.0442486105640386	579931, 575736, 587575, 582011, 586283, 754252, 575773, 578606	306	15	1277	2.22570806100218	0.999999999959962	0.797310392359161	48.1539310068783	translation initiation factor activity
MF	GO:0004871	21	1.18176702307259	0.078955059056822	754546, 592902, 100889243, 585718, 100889710, 100888815, 590385, 580676, 579394, 579291, 100891879, 105439311, 581160, 755668, 579899, 105439410, 100893874, 100890002, 100893202, 100891263, 593532	306	62	1277	1.41350411132195	1	0.886439387341993	69.6923276525263	signal transducer activity
MF	GO:0030594	4	0.225098480585256	0.0916918001946774	754546, 755668, 105439410, 100893202	306	5	1277	3.33856209150327	1	0.911309869014523	75.2386310782232	neurotransmitter receptor activity
MF	GO:0005342	5	0.28137310073157	0.098277642159145	579243, 100890894, 577533, 105438270, 755450	306	8	1277	2.60825163398693	1	0.916879917153001	77.7206279089626	organic acid transmembrane transporter activity
MF	GO:0046943	5	0.28137310073157	0.098277642159145	579243, 100890894, 577533, 105438270, 755450	306	8	1277	2.60825163398693	1	0.916879917153001	77.7206279089626	carboxylic acid transmembrane transporter activity
